Player,Nation,Pos,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Performance PK,Performance PKatt,League,Year,Standard FK,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
A. Nsereko,Byasier Pujan,MF,21,1999,0.17,0.04,0.07,0.07,,-0.05,0.05,,,,-0.02,-0.04,Tournament,2021,-0.07,0.09,0.03,,-0.03,-0.01
H. Gaillard,Byasier Pujan,MF,23,1997,3.96,0.05,0.07,0.08,,0.05,0.09,,,,-0.03,0.07,Tournament,2021,-0.1,-0.03,0.06,,-0.03,-0.07
V. Waswa,Byasier Pujan,MF,30,1990,3.97,0.71,2.52,1.09,39.96,2.41,1.02,0.29,0.67,14.92,-0.02,-0.04,Tournament,2021,0.04,0.55,0.49,0.14,0.23,0.31
W. Nabuuma,Byasier Pujan,MF,29,1991,2.64,-0.05,0.37,0.06,0.06,0.42,-0.03,-0.07,,20.62,0.1,0.02,Tournament,2021,-0.07,0.07,-0.06,-0.03,-0.07,-0.09
X. Abramov,Byasier Pujan,MF,18,2002,1.1,-0.05,1.62,-0.07,0.07,1.67,0.06,0.1,,23,-0.07,0.01,Tournament,2021,0.08,0.07,0.01,-0.01,0.01,-0.03
C. Magombo,Djipines,DF,23,1997,4.07,-0.03,0.34,0.3,100,0.24,0.19,-0.04,0,13.35,-0.01,-0.06,Tournament,2021,-0.06,0.06,-0.01,0.08,0.08,-0.05
F. Nassolo,Djipines,DF,19,2001,1.44,-0.05,0.02,-0.08,,-0.07,0.07,,,,0.02,0.06,Tournament,2021,-0.03,-0.04,0.09,,-0.1,-0.09
H. Namara,Djipines,DF,25,1995,3.48,0.3,0.59,0.26,50,0.54,0.37,0.45,1.05,13.84,-0.1,0.02,Tournament,2021,0.08,0.02,0.02,0.12,0.2,0.26
M. Tang,Djipines,DF,27,1993,3.2,0.06,0.93,0.02,-0.04,0.93,0.1,0.07,,19.22,0.06,0.06,Tournament,2021,-0.06,0.01,0.1,0.06,-0.07,0.04
N. Dekker,Djipines,DF,23,1997,2.97,0.01,0.24,0.01,0,0.31,-0.09,-0.06,,13.97,-0.02,-0.08,Tournament,2021,0.07,-0.01,0,0.1,-0.09,0.01
T. Alowo,Djipines,DF,31,1989,1.09,-0.05,0.92,-0.09,0.01,1.04,0.03,0.09,,9.25,-0.07,0.04,Tournament,2021,-0.02,0.16,0.02,0.03,-0.02,-0.19
I. binti Omar,Djipines,DFMF,20,2000,0.87,0.01,-0.09,0.05,,-0.08,-0.01,,,,-0.05,-0.04,Tournament,2021,-0.09,-0.09,0.05,,-0.02,0.03
L. Ningsih,Djipines,FW,22,1999,0.11,0.09,0.07,-0.07,,0.09,-0.06,,,,0.05,0.07,Tournament,2021,-0.09,0.02,0.02,,-0.05,0.03
C. Mawejje,Djipines,FWMF,23,1997,0.36,0.03,0.01,0.03,,-0.06,0.06,,,,-0.08,-0.08,Tournament,2021,-0.06,0.04,-0.08,,-0.07,0.09
F. Alupo,Djipines,FWMF,28,1992,3.29,0.33,1.85,0.61,33.35,1.91,0.61,0.21,0.57,8.67,-0.07,-0.09,Tournament,2021,0.04,0.12,0.22,0.03,0.26,0.23
H. Brun,Djipines,GK,27,1993,4.09,-0.02,-0.04,0.05,,0.03,-0.07,,,,0.04,0.09,Tournament,2021,-0.01,-0.02,0,,0.07,0.07
K. Moretti,Djipines,MF,30,1990,3.67,0.02,0.44,0.07,-0.08,0.5,0.05,0.04,,21.11,-0.05,-0.04,Tournament,2021,0.09,0.05,-0.06,0.05,-0.08,-0.1
W. Hon,Djipines,MF,24,1997,3.29,-0.1,0.35,0.07,-0.04,0.39,-0.09,0,,25.06,-0.05,-0.06,Tournament,2021,-0.04,0.03,-0.01,-0.05,-0.09,-0.09
Y. Akampurira,Djipines,MF,20,2000,0.16,0.05,0.04,0.07,,0.09,-0.05,,,,-0.07,0.08,Tournament,2021,-0.01,0.07,0.09,,0.04,-0.02
I. Koomson,Djipines,MFFW,23,1997,3.4,-0.04,1.1,0.55,49.93,1.15,0.5,-0.01,0,19.01,0.08,-0.03,Tournament,2021,-0.04,0.08,0.01,0.13,-0.04,0
K. Mohammadzadeh,Djipines,MFFW,30,1990,3.83,0.17,1.76,0.86,42.98,1.74,0.84,0.17,0.39,12.04,0,-0.06,Tournament,2021,-0.04,0.43,0.34,0.31,-0.1,-0.23
Q. Ariko,Djipines,MFFW,31,1989,3.92,0.04,2.25,0.57,22.12,2.26,0.56,0.03,-0.06,16.25,-0.04,0.3,Tournament,2021,-0.06,0.42,0.28,0.05,-0.42,-0.17
T. Cheung,Djipines,MFFW,23,1997,0.59,-0.03,1.64,-0.03,0.02,1.67,0.06,0.08,,8.23,-0.04,0.02,Tournament,2021,-0.07,0.09,0.19,0.22,-0.17,-0.15
B. Klemen?i?,Dosqaly,DF,24,1996,3.38,0.1,0.38,0.23,99.96,0.3,0.31,0.09,0.03,11.3,0,0.06,Tournament,2021,0,0.01,-0.04,0.14,-0.06,-0.03
B. Luki?,Dosqaly,DF,22,1998,0.93,0.06,-0.02,-0.07,,-0.08,0.01,,,,0.07,-0.1,Tournament,2021,0.08,-0.01,0,,0.07,-0.05
B. Mangwiro,Dosqaly,DF,24,1996,1.42,0.09,0.07,-0.02,,-0.09,0.07,,,,-0.09,0,Tournament,2021,0,0.05,0.08,,0.01,-0.03
L. Wilson,Dosqaly,DF,25,1995,0.55,-0.08,-0.03,-0.06,,-0.09,-0.04,,,,0.03,-0.08,Tournament,2021,-0.05,0.08,0.08,,0.09,0.07
N. Kamusiime,Dosqaly,DF,27,1993,1.06,-0.05,0.84,0.1,-0.02,1.04,0.08,0.05,,19.09,-0.05,-0.04,Tournament,2021,0.01,-0.05,0.06,-0.06,0.01,-0.06
Q. Coppola,Dosqaly,DF,25,1995,4.31,0.08,0.07,-0.06,,-0.04,-0.04,,,,0.08,0.03,Tournament,2021,0.05,-0.03,0.04,,0.02,0.03
V. Andersson,Dosqaly,DF,27,1993,4.36,0.03,0.44,0.06,-0.04,0.44,-0.05,0.06,,5.93,0,-0.04,Tournament,2021,0.05,0.09,0,0.18,-0.06,0.02
O. Maulana,Dosqaly,DFMF,25,1995,3.35,0.08,0.8,0.03,-0.01,0.85,-0.09,-0.05,,22.27,0.02,0.02,Tournament,2021,-0.05,0.08,-0.02,0.12,-0.04,-0.08
H. Robert,Dosqaly,FW,22,1998,4.21,0.08,3.29,0.74,21.34,3.2,0.68,0,0.04,16.48,0.04,-0.07,Tournament,2021,0.39,0.45,0.29,0.06,-0.44,-0.44
K. Nambozo,Dosqaly,FW,25,1995,-0.03,0.04,0,0.02,,-0.02,0.03,,,,0.01,0.1,Tournament,2021,-0.02,0.09,-0.04,,0.09,-0.03
S. Mlakar,Dosqaly,FW,34,1986,0.59,0.06,4,2.08,49.93,4.25,2.07,0.03,0.1,13.05,0.01,0.03,Tournament,2021,0.08,0.46,0.5,0.03,-0.47,-0.48
Y. Sen,Dosqaly,FW,33,1987,3.84,1.05,2.54,0.98,40.08,2.57,1.04,0.36,0.67,15.57,0.18,0.21,Tournament,2021,-0.04,0.77,0.55,0.2,0.27,0.16
P. Peh,Dosqaly,FWMF,23,1997,0.26,-0.08,3.33,-0.04,0.06,2.85,0.03,-0.08,,19.42,0.01,0,Tournament,2021,0.08,-0.04,-0.01,-0.05,0.08,0.05
U. Oola,Dosqaly,FWMF,26,1994,0.98,-0.01,1.09,1.01,100,1.14,1.19,-0.04,0.05,27.91,0.04,0.1,Tournament,2021,0.09,0.08,0.07,-0.04,-0.05,0.03
H. Cardoso,Dosqaly,MF,31,1989,0.38,0,2.59,0,0.07,2.45,-0.09,-0.05,,22.08,0.1,0,Tournament,2021,0.06,0.28,0.3,0.01,-0.33,-0.34
J. Rukundo,Dosqaly,MF,27,1993,4.28,0.26,1.81,0.41,24.96,1.89,0.46,0.15,0.46,20.65,-0.03,0.04,Tournament,2021,0.06,0.18,0.15,0.01,0.16,0.18
K. Eyotaru,Dosqaly,MF,23,1997,0.17,0.07,0.05,-0.01,,0.01,-0.09,,,,0,-0.07,Tournament,2021,0.02,-0.05,0.09,,0.09,0.07
M. Matsumoto,Dosqaly,MF,29,1991,4.38,0,0.22,0.02,0.04,0.22,0.03,-0.04,,26.98,-0.06,-0.09,Tournament,2021,-0.02,0.04,0.08,-0.06,0,-0.09
M. Sakai,Dosqaly,MFFW,24,1996,0.96,0,4.02,2.09,50,4,1.96,-0.1,-0.06,20.39,0.06,0.04,Tournament,2021,0.08,0.19,0.06,0.09,-0.18,-0.14
O. Aboagye,Dosqaly,MFFW,29,1991,3.88,0.27,2.04,0.69,37.5,2.09,0.77,0.11,0.39,19.04,0.07,0.05,Tournament,2021,-0.04,0.27,0.32,0.06,0.07,-0.01
C. Salihu,Eastern Niasland,DF,25,1995,2.88,-0.03,0.43,-0.05,0.06,0.33,-0.08,0.02,,6.09,-0.09,0,Tournament,2021,0.04,0.04,0.04,0.18,0.05,-0.03
K. Pawar,Eastern Niasland,DF,28,1992,3.02,0.35,0.57,0.41,50.02,0.68,0.29,0.57,0.93,22.11,-0.04,0.33,Tournament,2021,-0.01,0.24,0.04,0.04,0.03,0.35
S. Doherty,Eastern Niasland,DF,26,1994,2.92,-0.04,0.32,0.03,0.04,0.28,-0.06,0.07,,6.09,0.08,-0.04,Tournament,2021,0.02,0.06,0.16,0.08,-0.12,0.03
X. Foo,Eastern Niasland,DF,28,1992,2.99,-0.07,0.64,-0.03,0.07,0.76,0.04,0.03,,32.15,-0.07,0.05,Tournament,2021,0,-0.04,-0.01,0.09,0.04,0.08
C. Seidu,Eastern Niasland,DFMF,27,1994,0.37,0.04,-0.09,-0.1,,0.08,0.02,,,,0.08,0.09,Tournament,2021,0.07,0.01,-0.02,,0.08,-0.02
Q. Zee,Eastern Niasland,DFMF,26,1994,1.36,-0.04,3.14,0.81,25,2.97,0.69,0.04,0.1,15.36,0,-0.05,Tournament,2021,-0.05,0.25,0.19,0.03,-0.2,-0.2
H. Jaber,Eastern Niasland,FW,20,2000,0.81,0.02,0.04,0.03,,0,-0.03,,,,0.06,-0.04,Tournament,2021,0.04,0.03,0.06,,-0.09,0.09
J. Purba,Eastern Niasland,FW,28,1992,1.96,-0.06,3.18,1.14,33.3,3.07,0.96,-0.06,0.1,26.11,0.05,-0.1,Tournament,2021,0.04,0.1,0.05,-0.05,-0.08,-0.1
J. Soares,Eastern Niasland,FW,37,1983,2.79,0.27,0.66,0.42,50.06,0.69,0.41,0.5,1.05,15.51,-0.03,0.02,Tournament,2021,0.09,0.05,0.21,0.28,0.19,0.23
U. Manhique,Eastern Niasland,FW,22,1998,0.14,0,0.1,-0.09,,0.01,0.1,,,,0.09,0.08,Tournament,2021,0.07,-0.03,-0.06,,-0.07,0.03
V. Nkala,Eastern Niasland,FW,30,1990,0.31,-0.08,0.09,-0.04,,0.01,0.08,,,,0.05,0.04,Tournament,2021,0.05,-0.07,-0.06,,0.03,-0.07
L. Lau,Eastern Niasland,FWDF,33,1987,0.82,0.1,0,0.01,,-0.02,0.05,,,,0.05,0.05,Tournament,2021,0.1,-0.09,-0.04,,0.01,-0.01
Y. Nabuduwa,Eastern Niasland,GK,27,1993,3,0.02,-0.06,0.07,,0.03,-0.01,,,,0,-0.05,Tournament,2021,0.02,0.06,-0.07,,0.04,0.04
K. Abu,Eastern Niasland,MF,30,1990,0.15,0.04,0.02,0.09,,0.06,-0.04,,,,0.07,-0.07,Tournament,2021,0.08,0.07,0.02,,-0.02,0.05
L. Nangiro,Eastern Niasland,MF,25,1995,2.6,0.03,1.94,0.44,20.09,1.86,0.39,0.03,-0.03,26.45,0.1,-0.02,Tournament,2021,0.44,0.03,0.13,0.1,-0.08,-0.09
O. Lamunu,Eastern Niasland,MF,30,1990,0.41,0.01,-0.05,-0.03,,-0.07,0.02,,,,0.03,-0.07,Tournament,2021,-0.04,0.07,0.05,,0.09,0.03
O. Sepp,Eastern Niasland,MF,29,1991,2.77,-0.1,0.45,0.42,99.97,0.45,0.27,-0.07,0.06,10.23,0,-0.02,Tournament,2021,-0.03,0.16,0.17,0.16,-0.12,-0.14
Q. Isabirye,Eastern Niasland,MF,25,1995,0.25,-0.01,4.93,-0.05,0.08,6.44,-0.09,0.1,,15.08,0.05,-0.09,Tournament,2021,-0.03,0.06,-0.03,-0.07,0.05,-0.01
A. Mwesige,Eastern Niasland,MFFW,23,1997,0.18,-0.01,10.02,0.09,-0.1,6.84,-0.03,-0.02,,7,0.07,-0.06,Tournament,2021,0.01,-0.06,0.09,0.09,0.06,0.04
I. bin Hassan,Eastern Niasland,MFFW,24,1996,0.68,-0.03,0.02,0.01,,0.09,0.03,,,,-0.09,0.08,Tournament,2021,0.01,-0.07,0.02,,-0.1,-0.07
Z. Banda,Eastern Niasland,MFFW,21,1999,3.08,0.05,2.04,-0.08,0.05,2.04,0.06,-0.01,,15.52,-0.02,-0.09,Tournament,2021,-0.05,0.19,0.22,-0.01,-0.19,-0.14
C. Begum,Eastern Sleboube,DF,31,1989,1.05,0.1,0.01,0.08,,0.01,0.05,,,,0.1,-0.06,Tournament,2021,0.02,-0.04,-0.08,,0.09,-0.03
J. Alamri,Eastern Sleboube,DF,27,1993,3.03,-0.06,0.07,0.05,,0.07,-0.06,,,,0.09,0.08,Tournament,2021,0.06,-0.06,0.08,,-0.1,-0.03
N. Schumacher,Eastern Sleboube,DF,30,1990,2.28,-0.06,0.77,0.35,50.1,0.86,0.45,0.04,0.05,17.62,-0.02,0.07,Tournament,2021,-0.02,0.06,-0.03,0.07,0,0.02
P. Sullivan,Eastern Sleboube,DF,33,1987,0.61,-0.08,0.04,0.03,,-0.06,0.07,,,,-0.03,-0.06,Tournament,2021,0,0.03,0.08,,-0.06,0.03
V. Purwanto,Eastern Sleboube,DF,37,1983,0.57,-0.07,0.08,0.09,,0.09,-0.08,,,,0.06,0.09,Tournament,2021,-0.01,0.1,0.02,,-0.06,-0.01
W. Nakyejwe,Eastern Sleboube,DF,25,1995,1.48,0,-0.08,0,,-0.04,-0.04,,,,-0.04,0.04,Tournament,2021,-0.02,-0.07,-0.08,,-0.09,0.02
W. Tumwesige,Eastern Sleboube,DF,21,1999,2.54,0.03,0.48,-0.09,0.04,0.34,-0.02,-0.08,,10.02,-0.01,-0.07,Tournament,2021,0.05,-0.05,0.09,-0.06,-0.09,0.06
U. Namugerwa,Eastern Sleboube,DFFW,28,1993,2,-0.07,0.57,0.54,99.98,0.55,0.57,-0.07,0.06,17.28,0.06,0.05,Tournament,2021,-0.04,0.02,0.05,0.04,-0.01,-0.11
R. Nyapendi,Eastern Sleboube,DFMF,24,1996,1.54,0,-0.02,-0.05,,-0.01,-0.09,,,,-0.05,0.1,Tournament,2021,0.07,0,-0.04,,-0.03,0.08
Q. Kemigisa,Eastern Sleboube,FW,23,1997,0.38,0.01,-0.05,-0.04,,-0.03,-0.07,,,,0.08,-0.09,Tournament,2021,-0.09,0.04,-0.05,,0.05,0.05
V. Kyomuhangi,Eastern Sleboube,FW,32,1988,2.86,0.43,1.33,0.29,25.05,1.44,0.34,0.07,-0.06,16,0.42,0.35,Tournament,2021,0.06,0.29,0.08,0.06,0.05,-0.04
W. Ghosh,Eastern Sleboube,FWMF,30,1990,0.35,-0.07,-0.09,0.05,,-0.04,0.06,,,,-0.08,-0.08,Tournament,2021,0.06,0.08,-0.09,,0.03,0.02
K. Nakibuule,Eastern Sleboube,GK,34,1987,0.91,0.04,0.05,-0.06,,0.06,0.06,,,,-0.06,0.04,Tournament,2021,-0.01,0.09,-0.04,,0.06,0.05
W. Radu,Eastern Sleboube,GK,21,1999,2.09,0.08,0.01,0.02,,-0.02,-0.05,,,,0.01,-0.06,Tournament,2021,-0.06,0.06,0.08,,-0.02,-0.08
F. Kou,Eastern Sleboube,MF,19,2001,0.57,0.02,-0.03,0.02,,-0.07,0.04,,,,0,-0.05,Tournament,2021,0.03,0.04,-0.07,,-0.01,0
P. Isa,Eastern Sleboube,MF,24,1996,0.66,-0.07,2.81,-0.06,0.02,3.03,-0.06,-0.03,,13.8,0.04,-0.06,Tournament,2021,0.04,0.54,0.65,0.24,-0.66,-0.6
T. Jakobsson,Eastern Sleboube,MF,28,1992,2.3,0.08,1.74,-0.02,0,1.77,-0.01,-0.04,,16.06,0,-0.05,Tournament,2021,0,0.18,0.1,0.15,-0.11,-0.16
D. Rahmawati,Eastern Sleboube,MFFW,25,1995,1.82,0.56,1.07,0.53,49.93,1.04,0.6,0.4,0.92,16.71,0.1,-0.08,Tournament,2021,0.59,0.13,0.21,0.07,0.5,0.34
L. Prasad,Eastern Sleboube,MFFW,24,1996,3.03,0.1,1.72,0.26,19.96,1.61,0.3,-0.04,-0.1,20.66,-0.03,-0.02,Tournament,2021,-0.01,0.14,0.08,0.08,-0.14,-0.09
W. Bwanali,Eastern Sleboube,MFFW,26,1994,2.68,0.05,1.12,-0.02,-0.08,1.06,-0.07,0.03,,21.07,0.02,0.08,Tournament,2021,-0.07,0.1,0.11,0.13,0.01,-0.14
A. Dickson,Esia,DF,27,1994,3.73,-0.09,0.34,0.28,99.91,0.33,0.17,-0.09,0.01,8.07,0.01,-0.08,Tournament,2021,0.02,0.07,0.09,0.35,-0.17,-0.16
D. Adu,Esia,DF,26,1994,3.51,0.36,1.76,1.06,66.68,1.79,1.14,0.08,0.28,10.49,-0.07,0.03,Tournament,2021,0,0.16,0.2,0.24,0.09,0.01
D. Svensson,Esia,DF,27,1993,3.98,0.08,0.58,0.25,49.93,0.6,0.16,-0.02,-0.08,9.36,0.06,-0.04,Tournament,2021,-0.06,-0.06,0,0.09,-0.05,-0.08
G. Nisha,Esia,DF,25,1995,4.05,0.06,0.29,0.22,100.05,0.3,0.28,-0.1,0,7.54,-0.05,-0.05,Tournament,2021,-0.05,0.09,-0.02,0.14,-0.06,-0.08
K. Shumba,Esia,DF,32,1988,3.78,0.07,1.26,-0.07,-0.05,1.28,0.09,0.04,,8.76,-0.05,-0.02,Tournament,2021,-0.07,0.11,0.12,0.08,-0.05,-0.11
U. Adjei,Esia,DF,29,1991,0.23,0.08,3.41,-0.02,-0.06,3.18,0.01,-0.06,,16.03,-0.05,0.1,Tournament,2021,0.05,0.05,-0.08,-0.08,-0.03,-0.09
L. Mitchell,Esia,DFMF,25,1995,0.2,-0.03,0.03,-0.09,,0.02,0.06,,,,-0.06,-0.05,Tournament,2021,-0.05,0.09,0.06,,0.01,0.05
Z. Braun,Esia,DFMF,27,1994,0.31,-0.06,0.02,0.09,,-0.03,-0.07,,,,0.08,0.06,Tournament,2021,-0.09,-0.09,0.05,,0.03,-0.07
Q. Günther,Esia,FW,24,1996,1.22,0.08,1.68,0.79,50.07,1.68,0.86,0.09,-0.07,11.39,0,0.01,Tournament,2021,0.03,0.4,0.52,0.27,-0.35,-0.46
Y. Nartey,Esia,FW,25,1995,2.81,-0.05,1.48,0.33,25.01,1.42,0.33,0.09,0.06,14.1,0.02,-0.03,Tournament,2021,0.01,0.03,0,0.12,-0.13,-0.06
L. Tu,Esia,FWDF,25,1996,1.28,-0.07,0.84,-0.03,0.04,0.87,-0.03,0.07,,26.62,0.03,-0.05,Tournament,2021,0.74,0.17,0.12,0.1,0,-0.18
U. Musa,Esia,FWDF,28,1992,0.14,0.03,0.02,0.05,,0.07,0,,,,-0.05,0.08,Tournament,2021,-0.05,-0.07,0.07,,-0.05,0.06
H. Alobo,Esia,FWMF,21,1999,3.29,0.63,3.3,1.43,45.55,3.26,1.49,0.18,0.32,14.07,0.07,-0.06,Tournament,2021,0.07,0.75,0.77,0.3,-0.15,-0.13
B. Harahap,Esia,GK,34,1986,3.91,0.1,0.07,-0.04,,-0.01,-0.06,,,,-0.09,-0.09,Tournament,2021,0.04,-0.02,0.07,,-0.04,-0.1
A. Kuhn,Esia,MF,30,1990,2.31,0.09,0.38,-0.05,-0.02,0.42,-0.05,0,,12.01,0.06,-0.07,Tournament,2021,-0.02,0.08,0.14,0.22,0.02,-0.01
Y. Nagudi,Esia,MF,31,1990,4.02,0.04,1.04,0.09,0.07,1.01,-0.08,0.08,,20.34,0.03,0,Tournament,2021,0.58,0.07,0.1,0.08,-0.12,-0.01
J. Halvorsen,Esia,MFFW,17,2003,0.14,-0.01,0.03,0.08,,-0.02,0.08,,,,-0.02,0.07,Tournament,2021,-0.02,-0.04,-0.02,,-0.05,0.05
O. Nairuba,Esia,MFFW,31,1989,3.13,-0.03,1.9,0.4,16.64,1.77,0.32,0.07,0.04,16.37,0.09,0.04,Tournament,2021,0.27,0.24,0.26,0.21,-0.37,-0.26
T. Astuti,Esia,MFFW,25,1995,1.69,0.68,3.15,1.29,39.95,3.18,1.2,0.21,0.51,18.19,-0.09,-0.06,Tournament,2021,-0.09,0.28,0.15,0.05,0.37,0.41
E. Peng,Galamily,DF,27,1993,5,-0.02,0.2,0.02,-0.07,0.23,0,0.06,,13.94,-0.08,-0.08,Tournament,2021,0.05,-0.01,-0.02,0.03,0.06,-0.05
F. Saidi,Galamily,DF,30,1991,3.93,0.02,0.33,-0.05,0.1,0.34,0.07,-0.05,,6.04,-0.08,-0.05,Tournament,2021,0.03,0.09,0.02,0.19,0.03,-0.04
P. Kud?,Galamily,DF,31,1989,4.65,0.09,-0.04,0,,0,-0.03,,,,0.04,0.04,Tournament,2021,0.08,-0.02,-0.09,,-0.03,-0.03
W. Khoury,Galamily,DF,28,1992,0.24,-0.06,-0.03,0.07,,-0.01,-0.08,,,,-0.05,-0.02,Tournament,2021,-0.07,-0.08,-0.04,,-0.02,-0.05
Z. Iqbal,Galamily,DF,28,1992,5.07,0.07,0.58,-0.08,0.07,0.61,-0.03,0.1,,23.59,0.01,0.03,Tournament,2021,0.23,0.05,0.12,-0.02,0,0.06
Z. Mugeni,Galamily,DF,28,1992,0.91,-0.09,0.97,0.03,0.04,1.04,-0.03,-0.05,,12.02,-0.05,0.09,Tournament,2021,0.05,0.11,0.17,0.17,-0.2,-0.27
E. Morelli,Galamily,FW,27,1993,3.49,0.05,0.32,0.27,100.08,0.33,0.33,-0.01,0.07,20.8,0.07,0.01,Tournament,2021,-0.03,0.07,-0.1,0,-0.04,0.03
I. Y?ld?r?m,Galamily,FW,28,1992,0.3,-0.01,0.01,-0.03,,0.09,0.09,,,,-0.07,0.09,Tournament,2021,0.07,0.09,0.05,,0.05,-0.07
I. Zyu,Galamily,FW,27,1993,0.6,-0.07,5.64,2.8,50.08,5.43,2.71,0.09,0,15.29,-0.08,-0.07,Tournament,2021,0.1,0.72,0.62,0.09,-0.79,-0.73
J. binti Ibrahim,Galamily,FW,31,1989,0.1,0.04,5.01,0.04,0.06,5.67,0.05,0.09,,17.95,-0.01,0.08,Tournament,2021,-0.06,0.41,0.53,0.1,-0.4,-0.52
K. Jakobsson,Galamily,FW,25,1996,4.48,1.15,3.45,1.92,53.38,3.43,1.74,0.17,0.49,17.09,0.2,0.18,Tournament,2021,0.31,0.57,0.36,0.18,0.6,0.62
O. Acheng,Galamily,FW,18,2002,0.92,0.03,1.01,0.01,-0.06,1.09,-0.05,0,,11.29,0.04,0.04,Tournament,2021,-0.01,0.05,0.16,0.02,-0.05,-0.17
P. Purnomo,Galamily,FWMF,26,1994,2.56,0.07,0.46,-0.01,-0.09,0.39,-0.08,-0.03,,14.94,-0.05,-0.02,Tournament,2021,0.06,-0.03,0.08,0.09,-0.1,0.1
Y. Atoo,Galamily,FWMF,25,1996,2.77,0.05,1.11,0.08,-0.03,1.19,0.03,-0.07,,16.26,-0.06,0.07,Tournament,2021,-0.1,0.02,-0.01,0.08,-0.09,-0.13
U. Nishimura,Galamily,GK,31,1989,5.01,0.06,-0.07,-0.03,,-0.08,0.09,,,,0.08,0.09,Tournament,2021,-0.03,0.03,-0.06,,-0.08,0.01
F. Pop,Galamily,MF,25,1995,4.92,0.08,2.1,0.13,9.06,2.26,0.18,-0.06,0,12.83,0.05,0.01,Tournament,2021,-0.09,0.14,0.17,0.01,-0.17,-0.19
I. Kayange,Galamily,MF,22,1998,1.37,0.05,0.69,0.04,0,0.67,0.09,-0.07,,33.05,-0.06,0.07,Tournament,2021,0.01,0,0.09,0.05,-0.02,0.06
L. Rahimi,Galamily,MF,30,1990,2.72,0.01,0.81,0.32,50.08,0.78,0.34,0.07,0.01,23.24,-0.03,-0.03,Tournament,2021,-0.07,0.13,-0.03,0.09,-0.04,-0.1
L. Uchida,Galamily,MF,21,1999,-0.03,0.06,0.01,0.07,,-0.1,-0.04,,,,0.06,0.1,Tournament,2021,-0.09,-0.07,-0.07,,0.07,0.03
U. Ajiambo,Galamily,MF,27,1993,3.3,0.32,1.8,1.18,66.66,1.72,1.24,0.27,0.17,17.3,-0.02,0.08,Tournament,2021,0.04,0.16,0.18,0.14,0.14,0.11
U. Nambuya,Galamily,MF,26,1994,2.02,0.03,1.47,0.52,33.4,1.55,0.54,-0.04,-0.02,19.26,0.06,-0.06,Tournament,2021,-0.02,0,0.08,0.07,-0.08,-0.09
E. Nabaasa,Giumle Lizeibon,DF,28,1992,4.33,0.15,0.64,0.24,33.23,0.66,0.31,0.32,0.96,13.29,0,-0.02,Tournament,2021,-0.01,0.13,0.11,0.08,0.13,0.07
N. Barukh,Giumle Lizeibon,DF,24,1996,0.61,0.03,0.01,-0.05,,0,-0.1,,,,0.06,-0.07,Tournament,2021,-0.01,0,0.04,,0.02,0.01
U. Ionescu,Giumle Lizeibon,DF,35,1985,1.97,-0.08,-0.04,0.07,,-0.05,-0.01,,,,0.01,-0.06,Tournament,2021,0.1,-0.04,-0.05,,-0.09,0.06
V. Inoue,Giumle Lizeibon,DF,28,1992,4.28,0.09,0.56,0.02,0.04,0.53,0.09,-0.1,,24.68,0.07,0.04,Tournament,2021,0.17,0.03,0,0.11,-0.11,-0.14
W. Longwe,Giumle Lizeibon,DF,28,1992,4.36,0.01,0.74,-0.06,0.02,0.75,0.07,-0.01,,15.53,-0.01,-0.07,Tournament,2021,0,-0.03,0.03,0.06,-0.03,-0.05
X. Kawooya,Giumle Lizeibon,DF,33,1987,0.06,0.09,-0.02,-0.05,,0.05,-0.01,,,,0.05,0.07,Tournament,2021,-0.01,0.03,-0.07,,-0.08,0.01
Y. Takeuchi,Giumle Lizeibon,DF,29,1991,3.86,0.06,0.26,0.06,-0.1,0.37,0.04,-0.09,,8.1,-0.03,0.04,Tournament,2021,0.09,0.06,0.01,0.01,-0.07,-0.06
A. Azmi,Giumle Lizeibon,FW,23,1997,1.1,0.9,5.09,1.77,33.35,4.72,1.68,0.15,0.53,11.68,0.07,0.04,Tournament,2021,0.09,0.36,0.34,0.15,0.53,0.51
I. Peeters,Giumle Lizeibon,FW,28,1992,0.17,0.1,10,10.01,100.03,12.82,12.96,0,-0.04,8.59,0.06,0.05,Tournament,2021,-0.09,0.98,0.96,0.14,-0.91,-1
M. Omony,Giumle Lizeibon,FW,21,1999,2.63,0.38,1.04,0.74,66.71,1.12,0.82,0.28,0.52,12.07,0.06,-0.06,Tournament,2021,0.01,0.19,0.13,0.01,0.33,0.29
V. Jankowski,Giumle Lizeibon,FW,31,1989,2.39,0.46,3.29,1.16,37.52,3.22,1.15,0.14,0.33,17.63,-0.02,-0.01,Tournament,2021,0.01,0.5,0.54,0.18,-0.24,-0.15
X. Seidu,Giumle Lizeibon,FW,26,1994,0.97,-0.01,1.02,0.07,0.06,1.08,0.03,0.09,,24.26,-0.07,0.05,Tournament,2021,-0.1,0.04,-0.01,0,0.03,0.08
R. Zamani,Giumle Lizeibon,FWMF,23,1997,3.74,0.07,0.62,0.25,49.94,0.55,0.31,0.01,-0.1,17.05,0.09,-0.03,Tournament,2021,0.03,0,-0.07,0.09,-0.07,-0.12
