"","Player","Nation","Pos","Squad","Age","Born","X90s","Gls","Standard.Sh","Standard.SoT","Standard.SoT.","Standard.Sh.90","Standard.SoT.90","Standard.G.Sh","Standard.G.SoT","Standard.Dist","Standard.FK","Performance.PK","Performance.PKatt","Expected.xG","Expected.npxG","Expected.npxG.Sh","Expected.G.xG","Expected.np.G.xG","X90s.1","Total.Cmp","Total.Att","Total.Cmp.","Total.TotDist","Total.PrgDist","Short.Cmp","Short.Att","Short.Cmp.","Medium.Cmp","Medium.Att","Medium.Cmp.","Long.Cmp","Long.Att","Long.Cmp.","Ast","xA","A.xA","X90s.2","Tackles.Tkl","Tackles.TklW","Tackles.Def.3rd","Tackles.Mid.3rd","Tackles.Att.3rd","Vs.Dribbles.Tkl","Vs.Dribbles.Att","Vs.Dribbles.Tkl.","Vs.Dribbles.Past","Pressures.Press","Pressures.Succ","Pressures..","Pressures.Def.3rd","Pressures.Mid.3rd","Pressures.Att.3rd","Blocks.Blocks","Blocks.Sh","Blocks.ShSv","Blocks.Pass","Int","Tkl.Int","Clr","Err","League","Year"
"3998","O. Lombardi","Frenchdo Stanser","FW","Silver Frogs",21,1999,0.05,-0.07,-0.03,0.02,NA,0.01,-0.07,NA,NA,NA,-0.03,0.01,0.01,0.07,0.07,NA,-0.08,-0.02,-0.06,0.9,1.04,100.03,13.08,-0.04,1.04,1.08,99.92,0.07,-0.09,NA,0.09,-0.08,NA,-0.03,-0.02,-0.06,-0.09,0.04,0.1,0.06,0.01,-0.02,-0.07,0.04,NA,-0.01,0.03,-0.04,NA,-0.05,-0.06,-0.07,0.05,-0.08,-0.06,0.02,-0.02,-0.04,-0.05,0.08,"C",2021
"3999","A. Nantege","Lefghau","FW","Silver Frogs",25,1995,-0.07,0.06,0.08,0.08,NA,0,0.01,NA,NA,NA,-0.07,-0.05,0.01,0.06,0.08,NA,0,-0.06,0,-0.07,0.95,-0.04,0.02,0.09,-0.07,0.08,NA,-0.08,0.04,NA,-0.06,0.1,NA,-0.09,0.06,0.05,-0.02,0.04,0.04,0.08,0.05,0.03,-0.04,0,NA,0.05,0.07,0.04,NA,-0.02,0.06,0.08,0,-0.03,-0.04,-0.09,0.07,-0.02,-0.03,0.01,"C",2021
"4000","I. Kyakimwa","Lefghau","FW","Silver Frogs",26,1994,5.23,0.18,1.84,0.32,20.06,1.91,0.46,0.07,0.59,16.88,0.08,0.06,0,0.11,0.02,0.02,0.12,0.08,5.11,28.13,35.83,78.59,435.88,80.84,15.33,18.8,82.41,9.08,10.91,82.53,2.65,3.02,87.54,0.12,0.19,-0.08,5.11,3.18,1.48,0.8,1.69,0.8,0.89,1.93,49.94,0.93,24.92,7.92,31.48,5.38,10.04,9.71,2.96,-0.07,-0.02,2.79,1.37,4.61,0.29,0,"C",2021
"4001","F. Blanco","Manlisgamncent","FW","Silver Frogs",22,1998,20.12,0.3,2.29,1.1,44.61,2.37,1.04,0.07,0.27,19.73,0.12,0,-0.01,0.25,0.14,0.17,0.26,0.09,20.2,31.61,42.02,75.39,620.86,151,12.38,15.22,80.38,13.46,16.35,82.16,5.11,7.92,64.73,0.15,0.27,-0.01,20.22,1.21,0.88,0.61,0.49,0.06,0.43,1.48,25.04,1.08,16.64,5.28,32.03,3.96,7.82,4.96,1.22,0.06,0.05,1.15,0.91,2.17,0.31,-0.07,"C",2021
"4002","I. Khalili","Esia","FWDF","Silver Frogs",22,1998,29.81,0.25,1.08,0.42,35.34,1.19,0.41,0.28,0.46,18.31,-0.04,0.05,-0.01,0.08,0.14,0.08,0.16,0.03,29.76,36.89,48.94,75.08,658.62,206.68,16.41,19.57,84.75,15.91,20.25,78.33,4.01,7.17,55.98,0.28,0.18,0,29.83,1.86,0.96,0.77,0.78,0.23,0.77,1.78,41.54,1.05,17.46,5.42,31.15,5.29,6.44,5.7,2.56,0.04,0.09,2.35,1.6,3.48,1.14,0.04,"C",2021
"4003","C. Wee","Esia","FWMF","Silver Frogs",29,1991,2.42,0,1.74,-0.09,0.07,1.71,0,-0.02,NA,11.54,0.06,0.03,0.02,0.16,0.1,0.19,-0.14,-0.22,2.36,18.36,31.79,57.98,304.55,60.01,9.49,15.82,60.55,6.64,10.72,61.52,1.66,2.86,57.13,0.06,0.06,-0.12,2.48,1.74,0.81,0.36,1.35,-0.05,0.4,4.2,10.04,3.79,27.56,5.93,21.27,2.53,14.64,10.4,0.36,-0.06,0.07,0.44,0.01,1.67,1.71,-0.01,"C",2021
"4004","G. Kwiatkowski","Nkasland Cronestan","FWMF","Silver Frogs",18,2001,3.09,0.63,3.03,1.76,55.65,2.93,1.66,0.14,0.34,11.81,-0.01,-0.01,-0.03,0.64,0.65,0.25,-0.1,-0.07,3,18.79,26.7,70.06,374.61,109.08,8.98,12.63,71.12,5.7,7.38,77.2,3.29,4.38,76.96,-0.05,0,-0.03,2.97,1.9,2.04,0.26,1.4,0.43,1.34,2.35,57.03,1.03,22.98,9.29,40.59,2.35,11.94,8.7,1.66,0.06,0.02,1.57,1.08,3.07,0.26,-0.06,"C",2021
"4005","Q. Addo","Quewenia","FWMF","Silver Frogs",28,1991,17.3,0.23,1.76,0.86,46.74,1.65,0.82,0.23,0.35,14.62,0.03,-0.04,-0.09,0.16,0.18,0.07,0.1,0.07,17.34,27.6,38.01,72.82,481.01,126.29,13.61,16.84,81.7,10.3,13.72,74.58,3.13,5.41,55.76,0.16,0.11,0.04,17.5,1.55,0.81,0.53,0.8,0.33,0.42,1.73,27.7,1.3,16.41,4.55,27.61,4.11,8.46,3.94,1.89,0.25,0.03,1.73,0.69,2.2,0.68,-0.06,"C",2021
"4013","I. Lew","Esia","MFFW","Silver Frogs",26,1994,21.59,0.12,1.4,0.6,35.5,1.46,0.48,-0.01,0.16,14.64,-0.01,0.08,-0.03,0.1,0.22,0.05,-0.15,-0.08,21.57,26.31,35.52,74.24,458.14,131.03,11.89,15.17,78.16,10.6,13.31,79.03,3.02,4.74,62.4,0.14,0.25,-0.07,21.46,2.8,1.73,0.86,1.49,0.58,0.67,2.11,31.83,1.42,25.89,8.4,32.13,5.71,13.65,6.67,1.4,0.09,0.01,1.3,0.86,3.57,1.5,-0.02,"C",2021
"4014","Z. Uy","Quewenia","MFFW","Silver Frogs",29,1991,9.06,-0.06,0.96,0.21,25.09,0.9,0.25,0.1,-0.02,13.77,-0.09,0.07,0.09,0.06,0.01,0.05,-0.13,-0.12,9.15,38.11,48.55,78.52,614.9,152.92,20.39,24.41,83.07,13.08,15.51,83.77,3.24,5.21,60.48,0.18,0.16,0.02,9.08,1.91,1.29,0.58,0.69,0.7,0.65,1.88,33.36,1.33,23.2,8.59,37.44,4.33,11.65,7.32,1.2,0.13,-0.03,0.86,0.71,2.69,0.38,-0.02,"C",2021
"4027","L. Bagheri","Republic of Denand Landsa","FW","Spicy Gophers",22,1997,5.32,0.09,0.92,-0.03,-0.04,1.01,-0.06,0.07,NA,12.66,-0.07,0.08,-0.1,0.16,0.08,0.15,-0.03,-0.09,5.26,18.52,26.22,70.45,263.34,38.53,11.37,14.38,78.86,4.65,7.29,64.07,1.34,1.28,100.02,0.25,0.23,-0.06,5.25,2.29,1.31,0.85,0.29,0.86,0.4,1.06,33.32,0.72,24.7,5.51,22.04,3.12,9.95,11.74,0.93,-0.04,-0.05,1.02,0.63,2.8,-0.01,-0.06,"C",2021
"4028","S. Lokol","Republic of Denand Landsa","FW","Spicy Gophers",19,2000,1.21,0.01,3.24,0.87,25.08,3.26,0.82,0.04,-0.05,9.91,-0.07,0.01,0.04,0.32,0.24,0.14,-0.33,-0.33,1.15,22.56,30.01,74.9,417.49,32.53,10.72,15.08,72.18,9.17,10.73,84.59,2.5,3.25,74.91,0.1,0.04,-0.05,1.14,0.81,0.87,-0.02,0.1,0.78,-0.09,0.08,NA,-0.06,15.08,5.89,38.91,0.85,5.86,8.24,0.88,0.05,-0.01,0.9,0.08,0.74,-0.04,0,"C",2021
"4029","G. Bey","Xikong","FW","Spicy Gophers",29,1991,12.48,0.18,3.03,1.1,35.9,3.22,1.2,0.06,0.19,12.47,0.02,0.09,0.16,0.51,0.41,0.18,-0.19,-0.24,12.53,13.96,19.7,71.14,199.32,31.91,8.8,11.42,76.78,4.31,5.9,71.61,0.77,1.32,56.23,0.02,-0.02,-0.07,12.58,0.44,0.22,0.03,0.18,0.09,0.04,0.39,-0.01,0.46,13.18,3.19,23.54,0.55,6.45,6.13,0.73,0.06,-0.07,0.66,0.25,0.65,0.7,0.01,"C",2021
"4030","U. Rees","Dosqaly","FWMF","Spicy Gophers",32,1988,2.46,-0.02,2.84,-0.09,0,2.86,-0.04,0.08,NA,15.99,-0.08,0.02,0.49,0.74,0.43,0.2,-0.63,-0.37,2.56,11.29,19.11,58.2,156.39,17.18,8.89,12.02,73.28,1.2,3.65,33.23,0.75,1.11,66.65,-0.09,-0.08,0.08,2.55,0.35,0.09,0.09,0.42,-0.03,-0.01,0.87,0.09,0.89,12.8,3.66,28.17,-0.07,6.74,6.04,0,-0.09,0.09,-0.05,-0.09,0.35,0.88,0.03,"C",2021
"4031","X. Lunyolo","Esia","FWMF","Spicy Gophers",18,2002,11.43,0.12,0.93,0.38,36.46,1.01,0.28,0.12,0.55,17.84,-0.01,0,0.02,0.1,0.06,0.08,0.11,0.01,11.33,20.14,31.59,63.85,309.33,105.46,10.64,13.05,81.15,6.91,9.86,69.85,1.41,4.5,33.29,0.2,0.03,0.19,11.43,1.52,0.98,0.26,0.7,0.38,0.24,0.55,28.61,0.51,18.1,5.18,28.58,2.57,8.9,6.65,1.03,0.07,0.08,0.93,0.63,2.24,0.33,0.04,"C",2021
"4032","C. Mari?","Giumle Lizeibon","FWMF","Spicy Gophers",27,1992,5.07,0.26,1.87,0.67,33.32,1.79,0.68,0.1,0.28,18.66,-0.06,-0.02,-0.05,0.15,0.18,0.06,-0.01,0.09,5.02,25.28,36.59,68.95,450.28,179.8,12.15,13.65,89.65,8.29,12.97,63.03,3.82,8.21,46.22,0.09,0.17,-0.21,5.05,1.07,0.82,0.1,0.53,0.26,0.02,0.82,-0.03,0.84,11.57,3.36,29.32,2.07,5.31,4.29,1.64,0.03,0.02,1.65,1.1,1.95,0.99,0.01,"C",2021
"4033","V. Namayanja","Ledian","FWMF","Spicy Gophers",25,1994,28.12,0.35,1.76,0.47,27.64,1.58,0.54,0,0.25,21.72,0.19,0.2,0.19,0.23,0.04,-0.01,0.03,-0.05,28.23,31.72,44.24,71.77,614.45,163.77,13.91,16.42,84.31,10.88,14.74,74.28,5.86,10.38,56.42,0.26,0.06,-0.05,28.26,1.9,1.02,0.54,1.08,0.3,0.49,1.57,28.26,1.23,18.64,4.49,24.02,3.12,10.58,4.9,1.04,0.03,0.08,1.04,0.64,2.57,0.7,0.01,"C",2021
"4039","G. Moradi","Esia","MFFW","Spicy Gophers",22,1997,20.41,0.18,1.3,0.44,35.78,1.27,0.56,0.21,0.43,20.74,0.1,0,-0.08,0.16,0.13,0.02,0.18,0.12,20.38,20.44,31.63,64.81,381.29,140.63,9.05,11.36,78.83,7.59,9.97,75.14,3.27,7.89,40.18,0.16,0.21,0,20.37,2.55,1.43,0.85,1.46,0.27,0.61,2.02,28.62,1.54,21.17,6.79,32.04,5.37,10.23,5.44,2.5,0.47,-0.04,2.14,0.98,3.69,0.88,-0.05,"C",2021
"4040","L. Kofi","Esia","MFFW","Spicy Gophers",22,1998,15.27,0.02,0.8,0.4,45.58,0.77,0.26,-0.09,0.07,21.73,0.08,0.02,0,0.06,-0.05,0.13,-0.1,-0.08,15.19,36.83,45.84,80.47,661.33,157.42,15.98,19.22,82.68,14.66,16.92,85.99,4.43,6.72,66.67,0.06,0.04,-0.05,15.29,1.59,1.19,0.76,0.63,0.18,0.92,2.91,30.1,1.96,17.45,6.06,34.61,5.86,9.12,2.59,1.13,0.16,0.07,1.01,1.32,3.01,1.8,0.03,"C",2021
"4041","V. Okongo","Esia","MFFW","Spicy Gophers",30,1990,13.6,0.06,0.89,0.22,16.72,0.93,0.08,0.2,0.98,12.15,-0.04,0.1,0.02,0.12,0.19,0.22,-0.11,0.02,13.69,29.92,39.18,76.65,480.16,116,16.05,18.48,86.99,10.29,12.77,80.61,2.58,5.14,50.71,0.03,0.11,-0.07,13.7,2.35,1.64,0.71,1.2,0.34,0.55,2.23,25.71,1.66,20.57,6.1,29.45,6.09,9.37,5.16,1.39,0.27,-0.06,0.99,1.29,3.81,1.3,-0.1,"C",2021
"4042","X. De Vries","Ingre","MFFW","Spicy Gophers",22,1998,4.16,0,1.44,0.73,49.95,1.38,0.8,0.08,0.08,17.29,0.25,-0.06,0.04,0.05,0.23,0.14,-0.23,-0.06,4.29,19.74,31.12,63.45,333.69,109.27,9.95,13.58,73.61,7.78,10.55,75.06,1.65,3.97,41.11,-0.03,0.06,-0.2,4.27,1.92,1.28,1.27,0.44,0.17,0.63,1.47,50.05,0.7,17.47,5.16,30.11,5.26,8.09,3.96,1.42,0.06,0.1,1.49,0.32,2.21,0.15,-0.06,"C",2021
"4055","A. Nantege","Lefghau","DFFW","Supreme Jaguars",25,1995,5.32,-0.09,0.96,0.15,19.98,1.05,0.15,-0.08,-0.04,20.65,-0.02,-0.01,-0.03,0.07,0,0.05,-0.01,-0.07,5.37,25.9,44.21,58.58,452.87,167.58,12.92,17.41,74.97,8.95,15.24,58.07,3.46,6.97,48.7,-0.07,0.01,0.01,5.39,3.66,1.63,2.36,0.84,0.14,1.62,4.54,37.47,2.93,19.19,4.77,24.45,11.96,5.96,1.37,3.06,0.83,0.03,2.3,2.63,6.2,2.46,-0.09,"C",2021
"4057","B. Liang","Byasier Pujan","FW","Supreme Jaguars",36,1983,6.48,0.31,1.81,0.72,41.73,1.75,0.69,0.24,0.49,12.96,0.4,0.04,0.14,0.61,0.46,0.14,-0.12,-0.08,6.55,15.86,20.72,76.31,230.77,35.06,8.45,10.4,82.16,5.94,7.7,76.06,0.45,0.93,50.06,0.1,0.16,0.08,6.45,0.42,0.24,-0.07,0.32,0.19,0.09,0.7,0.03,0.64,16.1,4.01,25.07,2.14,6.29,7.57,0.38,0.2,-0.07,0.22,0.47,0.9,0.8,-0.06,"C",2021
"4058","A. Guo","Esia","FW","Supreme Jaguars",19,2000,0.15,0.05,0.06,0.05,NA,0.02,0.06,NA,NA,NA,-0.08,0.04,-0.01,0.03,-0.03,NA,0.06,0.03,0.15,9.93,10.04,99.91,299.94,49.92,0.05,0.07,NA,0.06,0.04,NA,10.03,9.96,100.09,0.1,-0.06,-0.02,0.09,0.07,0.02,0.06,-0.09,-0.07,-0.09,-0.06,NA,0.07,9.97,-0.09,-0.05,0.1,0.1,10,0.09,0.05,-0.04,-0.09,-0.09,-0.04,0.05,-0.04,"C",2021
"4059","T. Ramos","Esia","FW","Supreme Jaguars",21,1999,0.34,0.02,2.45,-0.04,0.05,2.19,0.02,0.01,NA,12.95,0.03,-0.1,-0.02,0.27,0.28,0,-0.2,-0.15,0.39,17.45,32.53,53.72,170.07,7.55,12.6,24.94,49.93,2.58,5,50.07,-0.01,0.02,NA,0.07,0.06,0.02,0.38,2.51,2.52,-0.01,2.42,-0.08,0.06,2.42,0.06,2.45,17.42,7.46,42.84,5.07,4.94,7.43,4.91,-0.07,0.01,5,-0.08,2.6,2.54,0.02,"C",2021
"4060","U. Den","Greri Landmoslands","FW","Supreme Jaguars",25,1994,8.35,0.22,2.68,0.94,36.34,2.6,0.87,0.07,0.11,16.09,0.21,-0.09,0.04,0.1,0.23,0.1,0.04,-0.12,8.32,13.3,21.81,60.92,220.92,49.85,7.09,11.03,64.72,3.79,6.35,61.42,1.64,2.9,58.25,0.14,0.07,-0.01,8.31,0.88,0.91,0.69,0.05,0.3,0.34,1.45,24.99,1.11,15.34,3.59,23.56,2.82,6.94,5.42,0.68,0.21,0.03,0.42,0.26,1.25,0.65,0,"C",2021
"4061","D. Vanags","Ingre","FW","Supreme Jaguars",17,2002,-0.04,0.08,0.02,0.02,NA,-0.06,0.08,NA,NA,NA,-0.09,0.02,0,0.08,0.08,NA,-0.08,0.08,0.04,1.07,1,99.9,7.03,-0.04,1.02,0.91,100.09,0.09,-0.08,NA,-0.01,-0.03,NA,0.02,0.08,-0.06,-0.1,-0.04,0.05,0,0.08,0.06,-0.09,-0.07,NA,-0.05,2,-0.1,0.02,1.02,1.08,-0.07,0.02,0.07,0.08,0.07,0.03,0.02,-0.06,0.08,"C",2021
"4062","C. Paramar","Redohrainbri","FW","Supreme Jaguars",18,2002,0.05,-0.06,0.01,-0.04,NA,0.08,-0.03,NA,NA,NA,0.09,0.09,-0.02,-0.03,-0.02,NA,0.05,-0.08,0.09,19.99,19.98,99.97,280.05,0.1,9.95,10.07,99.93,10.01,9.9,100.02,-0.03,-0.02,NA,-0.06,-0.02,-0.05,0.1,0,0.09,0.02,-0.06,-0.08,0.06,-0.07,NA,0.1,-0.06,-0.1,NA,-0.1,0.1,-0.06,-0.07,-0.01,0.07,-0.04,-0.03,0.06,0.01,-0.07,"C",2021
"4063","R. Christiansen","Slandsganiamayotteque","FW","Supreme Jaguars",19,2001,14.52,0.32,1.59,0.64,40.98,1.45,0.58,0.22,0.76,13.01,-0.09,-0.06,-0.05,0.32,0.3,0.16,0.11,0.25,14.42,12.73,17.78,72.8,179.33,30.5,7.53,9.33,80.05,3.88,5.41,70.87,0.71,1.19,56.32,0.16,0.09,0,14.48,0.91,0.75,0.22,0.5,0.23,0.16,0.59,24.92,0.32,17.3,4.42,25.88,2.78,7.73,6.81,0.82,0.29,0.05,0.63,0.53,1.55,1.07,0.05,"C",2021
"4064","T. Sarkar","Unicorporated Tiagascar","FW","Supreme Jaguars",35,1984,1.73,0.04,1.11,0.03,-0.06,1.23,0.09,0.08,NA,6,-0.03,0.08,0.01,0.23,0.26,0.34,-0.29,-0.24,1.79,14.71,20.56,71.49,208.86,24.75,8.81,11.18,78.85,3.62,5.38,66.68,1.17,1.83,66.64,-0.09,-0.05,0.02,1.68,0,0.07,0.03,0.03,0.01,-0.09,0.01,NA,-0.06,9.38,2.89,31.33,0.06,6.49,2.84,1.71,0.5,0.09,1.08,-0.03,-0.1,0.63,-0.03,"C",2021
"4065","D. Jansson","Biarizea","FWDF","Supreme Jaguars",22,1997,1.05,0.09,1.85,-0.01,-0.02,1.95,-0.07,0.09,NA,17.59,0.1,-0.08,0.06,0.09,0.07,0.07,-0.15,-0.09,1.05,20.87,26.31,79.3,309.13,130.81,10.95,14.55,75.08,8.15,9.09,89.91,0.95,0.89,100,0.03,-0.1,-0.04,1.04,3.7,0.81,2.8,0.04,0.87,1.74,3.65,50,1.9,30.06,6.43,21.1,8.25,14.45,7.25,0.89,-0.09,-0.04,0.84,1,4.45,0.83,-0.08,"C",2021
"4066","U. Tuhaise","Esia","FWDF","Supreme Jaguars",27,1992,4.64,0.02,1.53,0.19,14.27,1.53,0.24,-0.1,0.03,21.45,0.06,-0.02,0.19,0.26,0.13,0.09,-0.27,-0.21,4.8,16.22,27.01,59.74,308.44,109.74,6.79,9.6,71.06,6.9,9.54,71.03,2.36,4.93,47.88,-0.06,-0.02,-0.06,4.67,1.41,1.32,0.46,1.13,0.01,0.42,2.36,18.25,2.01,24.1,5.34,22.05,6.18,13.2,4.65,2.12,0.26,0.09,1.84,1.06,2.49,0.2,-0.07,"C",2021
"4067","M. Colombo","Djipines","FWMF","Supreme Jaguars",19,2000,2.42,0.04,-0.02,0.08,NA,0.07,0.03,NA,NA,NA,-0.01,-0.01,0.06,-0.07,0.09,NA,0.09,0.08,2.47,14.26,16.77,84.96,243.25,23.31,7.52,8.24,89.92,4.21,4.27,100.09,1.59,2.18,79.96,-0.03,-0.02,-0.07,2.42,1.69,1.2,0.79,0.79,-0.03,0.88,1.66,49.96,0.84,26.23,6.98,26.99,7.41,10.07,8.83,2.16,0.35,-0.01,1.66,0.74,2.5,-0.04,0.05,"C",2021
"4068","M. Ebong","Esia","FWMF","Supreme Jaguars",28,1991,16.65,0.14,2.13,0.68,28.56,2.09,0.62,0.02,0.36,19.37,0.31,0.05,-0.07,0.08,0.25,0.01,-0.06,0.07,16.68,24.55,33.28,73.85,481.51,116.75,11.27,13.29,85.85,7.84,9.98,78.12,4.74,8.59,56.31,-0.03,0.14,-0.05,16.54,1.72,1.16,0.8,0.35,0.37,0.25,1.52,19.28,1.28,19.66,5.12,26.29,4.31,10.24,5.13,0.98,0.06,0.08,1.01,0.81,2.42,0.35,0.14,"C",2021
"4069","X. Seidu","Giumle Lizeibon","FWMF","Supreme Jaguars",26,1994,10.52,-0.1,0.95,0.19,9.13,0.96,0.09,0.05,0.04,19.55,0.01,-0.03,-0.06,0.09,0.13,-0.03,0.03,0.01,10.42,27.48,34.5,79.86,399.41,91.33,16.21,18.9,85.84,8.51,9.73,86.31,1.72,2.61,64.29,-0.07,-0.03,0,10.48,1.35,1.21,0.58,0.78,-0.01,0.44,1.34,33.23,0.95,20.17,5.91,29.7,6.36,9.38,4.42,2.1,0.12,-0.01,1.96,0.68,2.08,0.45,0.01,"C",2021
"4070","L. Jung","Rarita","FWMF","Supreme Jaguars",20,2000,1.13,-0.05,1.74,-0.06,-0.09,1.7,-0.06,-0.01,NA,14.05,-0.07,0.06,-0.03,0.34,0.25,0.12,-0.29,-0.21,1.3,18.31,30.88,59.49,296.66,29.16,9.92,14.22,70.65,4.08,6.59,62.59,2.59,5.75,42.99,0,0.03,-0.03,1.28,0.8,0,0.02,0.02,0.87,0.9,0.83,99.98,-0.07,24.29,5.79,24.07,3.26,9.25,11.63,0.83,-0.07,-0.08,0.79,-0.06,0.79,-0.05,0.03,"C",2021
"4071","F. Quansah","Southern Ristan","FWMF","Supreme Jaguars",25,1994,13.77,0.21,1.96,0.53,26.85,1.96,0.6,0.14,0.2,17.94,0.14,-0.09,-0.09,0.1,0.14,0.14,-0.01,-0.01,13.81,16.36,24.12,67.95,304.78,101.2,7.91,11.28,70.72,5.72,7.32,77.46,2.42,3.14,77.2,0.09,0.14,-0.01,13.78,1.31,0.96,0.81,0.3,0.28,0.14,1.58,8.74,1.46,22.09,6.1,28.07,4.71,8.07,9.17,1.09,0.09,-0.04,1.11,0.73,2.05,0.37,0,"C",2021
"4083","J. Muianga","Biarizea","MFFW","Supreme Jaguars",23,1997,23.38,0.11,1.03,0.23,22.68,1.04,0.25,0.1,0.41,20.25,0.09,0.01,0.02,-0.02,0.03,0,-0.01,0.01,23.4,27.44,36.67,75.19,479.4,157.59,13.01,15.82,81.74,9.92,12.23,80.87,3.42,6.07,56.64,0.23,0.26,-0.05,23.38,1.06,0.7,0.48,0.38,0.07,0.2,1.12,25.89,0.89,15.39,4.65,29.97,4.55,7.76,3,0.45,0.01,0.09,0.4,1.05,2.03,0.35,0.02,"C",2021
"4084","L. Kaur","Biarizea","MFFW","Supreme Jaguars",21,1999,6.79,0.06,2.18,0.95,42.99,2,0.85,0.06,0.09,17.27,0.02,-0.03,0.07,0.23,0.17,0.14,-0.04,-0.06,6.65,19.86,27.42,72.26,303.5,74.41,9.25,11.81,77.59,8.16,10.37,78.4,1.05,1.89,58.28,-0.04,0.03,-0.04,6.61,2.59,2.01,0.69,1.59,0.2,0.18,1.25,12.41,1.12,25.47,7.11,28.2,4.55,11.68,9.15,2.35,0.5,-0.03,1.94,0.89,3.49,1.39,0.08,"C",2021
"4096","B. Mpofu","Byasier Pujan","FW","Ultimate Dolphins",19,2001,0.95,0.06,3.91,0.95,25.06,3.93,1,0.07,0.05,11.87,0.07,-0.04,-0.07,0.38,0.45,0.13,-0.39,-0.48,1.02,23.96,29.91,79.93,300.98,15.08,18.01,21.04,85.64,5.95,8.08,74.91,-0.01,0.05,NA,-0.03,0.14,-0.26,0.92,0.1,0.01,-0.02,-0.08,0.03,0.07,1.95,-0.08,1.91,12.01,2.94,24.92,1.03,3.92,7.03,0.08,0.09,-0.04,-0.05,0.06,0.03,-0.01,-0.06,"C",2021
"4097","W. D'amico","Dosqaly","FW","Ultimate Dolphins",20,1999,0.15,0,-0.03,0.1,NA,0.04,-0.02,NA,NA,NA,0.08,-0.02,0,0.02,0.1,NA,0.07,-0.08,0.15,45.03,50.01,90.03,860,14.99,14.96,15,100.04,24.98,25.01,99.93,4.96,9.97,49.99,0.02,-0.07,0.04,0.28,-0.07,0.07,0.07,-0.01,0.04,-0.06,0.01,NA,0.03,20,5,24.98,-0.06,5.01,14.92,4.93,0.03,0.07,5.01,-0.08,0.04,0.09,0.01,"C",2021
"4098","L. Mwase","Esia","FW","Ultimate Dolphins",18,2002,0.37,0.07,2.43,0.01,0,2.59,-0.04,-0.01,NA,22.78,-0.08,-0.01,-0.05,-0.04,-0.09,0.02,0.09,-0.04,0.43,14.94,19.93,75.08,154.98,54.94,9.94,9.96,100.06,4.94,4.93,99.97,0.09,2.5,0.05,-0.05,0.04,-0.03,0.45,4.91,2.48,0.01,2.5,2.58,-0.06,0.04,NA,0.08,10.07,4.97,50.06,2.56,4.9,2.44,2.58,0.05,-0.02,2.43,0.09,5.07,-0.05,-0.09,"C",2021
"4099","S. Y?lmaz","Nkasland Cronestan","FW","Ultimate Dolphins",31,1988,27.33,1.47,4.81,2.01,43.12,4.7,2,0.15,0.62,13.33,0.25,0.21,0.24,1.14,0.98,0.22,0.41,0.35,27.27,19.98,26.01,76.56,306.62,56.32,10.94,13.35,81.65,6.31,7.86,80.13,1.62,2.27,73,0.24,0.19,0.1,27.29,0.64,0.48,0.1,0.33,0.22,0.22,0.6,28.68,0.37,11.85,3.94,32.33,0.37,3.22,8.21,0.32,0.11,0.06,0.17,0.19,0.87,0.23,0.04,"C",2021
"4100","I. bin Yusof","Central Namemo Laand","FWMF","Ultimate Dolphins",31,1989,9.06,0.42,2.02,1.37,68.38,2.01,1.49,0.08,0.3,11.25,-0.1,-0.04,0.04,0.35,0.37,0.19,-0.01,0.04,9.12,19.64,24.16,80.94,265.35,44.35,12.97,14.62,88.66,5.04,6.17,80.77,0.81,1.07,77.88,0.01,0.16,-0.15,9.19,1.04,0.73,0.07,0.56,0.24,0.27,0.61,33.23,0.35,14.11,4.1,29.68,0.83,7.08,6.17,0.26,0.03,-0.03,0.42,0.39,1.35,0.78,-0.05,"C",2021
"4101","M. Sakai","Dosqaly","FWMF","Ultimate Dolphins",24,1996,19.44,0.18,2.76,1,36.52,2.71,0.98,0.19,0.17,16.81,-0.06,-0.07,-0.1,0.14,0.29,0.05,-0.04,0.07,19.45,34.96,43.84,79.36,618.84,113.87,17.3,20.08,86.2,13.32,16.45,81.12,3.92,5.48,70.1,0.5,0.37,0.18,19.52,0.93,0.53,0.41,0.48,0.07,0.5,1.38,29.64,0.95,16.36,5.27,31.87,2.83,6.79,6.66,1.23,-0.03,-0.03,1.18,0.56,1.67,0.21,-0.03,"C",2021
"4102","J. Halvorsen","Esia","FWMF","Ultimate Dolphins",17,2003,9.87,0.62,2.5,1.02,44.09,2.57,1.13,0.21,0.51,14.79,-0.03,0,-0.03,0.32,0.36,0.08,0.3,0.34,9.79,37.64,44.39,84.7,575.38,118.11,19.46,22.08,88.01,13.77,16.07,85.42,2.41,3,80.03,0.12,0.04,0.04,9.87,2.58,1.48,0.14,1.12,1.21,0.36,1.99,21.12,1.49,22.65,8.42,37.67,3.93,10.23,8.45,2.43,0.2,-0.09,2.26,2.29,4.8,0.29,-0.07,"C",2021
