"","Player","Nation","Pos","Squad","Age","Born","X90s","Gls","Standard.Sh","Standard.SoT","Standard.SoT.","Standard.Sh.90","Standard.SoT.90","Standard.G.Sh","Standard.G.SoT","Standard.Dist","Standard.FK","Performance.PK","Performance.PKatt","Expected.xG","Expected.npxG","Expected.npxG.Sh","Expected.G.xG","Expected.np.G.xG","X90s.1","Total.Cmp","Total.Att","Total.Cmp.","Total.TotDist","Total.PrgDist","Short.Cmp","Short.Att","Short.Cmp.","Medium.Cmp","Medium.Att","Medium.Cmp.","Long.Cmp","Long.Att","Long.Cmp.","Ast","xA","A.xA","X90s.2","Tackles.Tkl","Tackles.TklW","Tackles.Def.3rd","Tackles.Mid.3rd","Tackles.Att.3rd","Vs.Dribbles.Tkl","Vs.Dribbles.Att","Vs.Dribbles.Tkl.","Vs.Dribbles.Past","Pressures.Press","Pressures.Succ","Pressures..","Pressures.Def.3rd","Pressures.Mid.3rd","Pressures.Att.3rd","Blocks.Blocks","Blocks.Sh","Blocks.ShSv","Blocks.Pass","Int","Tkl.Int","Clr","Err","Playing.Time.MP","Playing.Time.Starts","Playing.Time.Min","Playing.Time.90s","Performance.GA","Performance.GA90","Performance.SoTA","Performance.Saves","Performance.Save.","W","D","L","Performance.CS","Performance.CS.","Performance.PKatt","Penalty.Kicks.PKA","Penalty.Kicks.PKsv","Penalty.Kicks.PKm","Penalty.Kicks.Save.","League","Year"
"4216","B. Koskinen","Esia","GK","Wicked Gentlefolk",25,1995,1.08,0.04,0,-0.03,NA,0.01,-0.01,NA,NA,NA,0.02,0.09,0.07,-0.03,-0.09,NA,0.01,-0.05,0.91,27.05,35.92,74.97,594.97,320.92,6.92,7.04,99.97,10.04,9.92,100.05,7.99,16.94,47.04,-0.01,-0.06,0.04,1.03,0.02,0,-0.02,0.08,-0.02,-0.04,-0.05,NA,0.05,0.05,-0.04,NA,-0.06,-0.06,0.07,-0.1,0.06,0.08,0.1,-0.06,-0.09,0,-0.01,1.07,1.02,90.07,1,1.92,1.99,3.95,1.92,49.98,-0.08,0.08,0.97,0,0.1,0.09,-0.05,-0.06,-0.09,NA,"C",2021
"4217","F. Yaakv","Quewenia","GK","Wicked Gentlefolk",22,1997,33.09,0.1,0.03,-0.01,NA,-0.08,-0.06,NA,NA,NA,0.05,-0.05,0.08,0.06,0.08,NA,-0.03,-0.06,32.93,30.29,36.74,82.15,688.56,420.44,10.81,10.77,99.73,11.55,11.61,99.8,6.61,13.26,50.78,0.05,0.1,-0.08,32.92,0.04,-0.09,0.09,-0.09,-0.07,0.1,0.03,NA,-0.01,-0.01,-0.06,100,0.11,0.1,0.02,-0.01,-0.03,0.08,-0.03,0.1,-0.09,0.1,0.07,0.92,0.94,90.1,0.91,0.96,1.09,9.04,8.06,88.98,0.93,-0.05,0.08,0.01,0.03,-0.06,-0.08,-0.06,-0.02,NA,"C",2021
"4241","B. K?l?ç","Sobianitedrucy","GK","Coy Catamarans",19,2001,1.1,-0.05,0.02,0.06,NA,-0.04,0.02,NA,NA,NA,0.02,0,0.03,0.04,0.1,NA,-0.05,0.07,1.06,36.09,42.01,85.61,873.92,633.1,14.08,13.97,100.01,12.94,14.01,92.85,8.05,12.93,61.57,0.06,-0.09,0.06,0.92,-0.08,0.02,0.02,-0.08,0.01,-0.08,-0.01,NA,0.03,0.08,0.09,NA,-0.02,0.1,0.04,-0.02,-0.09,0.04,0.01,-0.04,0,-0.01,-0.09,32.94,33.06,2970.06,32.95,1.69,1.66,4.74,3.09,68.35,0.38,0.33,0.34,0.1,15.27,0.19,0.19,0.02,0.09,28.63,"C",2021
"4242","F. Jansen","Sobianitedrucy","GK","Coy Catamarans",28,1992,0.91,-0.06,-0.02,0.03,NA,-0.04,-0.1,NA,NA,NA,-0.08,0,0.08,0.03,0.07,NA,0.01,-0.08,1.03,30.9,38.1,81.65,949.92,599.91,9.94,9.94,99.97,8.04,8.07,100.09,12.96,20.07,65.06,-0.09,-0.06,-0.09,1.06,0.1,-0.07,0.06,0.06,0.05,0.06,0.05,NA,-0.07,0.04,0,NA,-0.09,0.02,0.02,0.03,-0.1,0,-0.09,0.03,-0.01,0.03,-0.08,0.95,0.93,90.03,1.05,0.08,0.04,0.95,1.07,100.01,0.09,1,-0.01,0.92,100,-0.09,0.04,0.07,-0.09,NA,"D",2021
"4243","K. Kanyesigye","Sobianitedrucy","GK","Coy Catamarans",37,1983,36.06,-0.05,0.02,0.07,NA,0.06,-0.01,NA,NA,NA,-0.08,0.05,0.05,-0.02,-0.08,NA,0.06,-0.09,35.97,1042.01,1445.95,72.08,29331.1,18965.99,240.08,240.91,99.51,414.91,428.02,96.97,381.07,769.98,49.59,-0.02,-0.06,-0.01,36.07,-0.1,-0.1,0.09,-0.1,-0.08,0.07,-0.03,0,0,0.16,-0.03,33.34,0.03,0.03,0.01,0.05,-0.07,-0.03,0,-0.04,-0.04,0.04,-0.03,0.9,1.08,90.08,0.92,1.07,0.95,8,6.92,87.55,0.01,1.05,0.07,0.08,-0.07,-0.01,-0.09,0.05,0.01,NA,"D",2021
"4286","L. Foo","Sobianitedrucy","GK","Coy Sunbirds",29,1991,2,0.01,-0.01,0.1,NA,-0.09,0.02,NA,NA,NA,0.1,-0.06,-0.04,0.06,0.03,NA,0.03,0.01,2.06,35.06,49.97,70.09,1223.04,1026.94,7.01,7.03,99.96,8.01,9,88.94,18.02,31.99,56.38,0.01,-0.03,0.03,2.07,-0.03,-0.01,-0.01,-0.09,-0.09,0.08,-0.01,NA,0,-0.06,0.06,NA,-0.02,-0.04,0.07,-0.09,-0.07,-0.04,0.08,0.06,0.01,-0.01,-0.07,35.95,35.93,3240.09,35.97,2.5,2.45,5.56,3.24,57.56,0.25,0.09,0.67,0.04,5.55,0.05,0.11,-0.09,0.09,0,"D",2021
"4287","X. Dahan","Sobianitedrucy","GK","Coy Sunbirds",29,1991,36,0.08,-0.08,0.05,NA,0.07,-0.04,NA,NA,NA,0.02,-0.03,0.02,0.06,-0.04,NA,0.03,0.06,36.09,1132.93,1444.91,78.49,36748.04,24424.06,175.97,178,98.9,449.92,457.99,98.26,501.07,802.99,62.34,-0.05,0.01,0.02,35.98,0.06,0.04,0.06,0.02,0.09,0.05,0.1,0.04,0.04,0.13,-0.07,0.05,0.16,-0.07,-0.03,0.03,-0.09,0.07,-0.03,-0.01,-0.04,0.03,-0.04,2.04,2.08,180.08,2.03,3.52,3.41,4.43,1.56,33.26,-0.06,-0.03,0.91,-0.1,0.06,0.45,0.45,0.09,0.04,-0.07,"D",2021
"4314","N. Busingye","Sobianitedrucy","GK","Fighting Clippers",23,1997,22.05,0.03,0.06,-0.03,NA,0.06,0.01,NA,NA,NA,0.06,-0.06,0.04,0.09,0.02,NA,-0.09,-0.07,22.05,538.96,606.98,88.83,12992.05,6217.08,137.96,138.09,100.07,254.92,259.91,98.03,144.99,206.95,70.01,-0.07,0.16,-0.17,22.05,0.04,0.1,0.06,-0.04,0.06,-0.05,0.11,0.02,-0.01,0,0.03,-0.07,0.1,0.08,-0.06,-0.08,-0.08,-0.01,-0.06,0.07,-0.07,-0.04,-0.02,35.95,36.06,3239.96,36.07,2.1,2.07,5,2.88,58.16,0.02,0.25,0.64,0.2,13.86,0.12,0.05,0.08,0.02,0.01,"D",2021
"4315","R. Owere","Western Niasland","GK","Fighting Clippers",31,1988,15.93,-0.01,0.01,0.06,NA,-0.04,0,NA,NA,NA,0.01,0.01,0.05,0.09,0,NA,-0.01,-0.06,15.96,442.05,539.06,81.98,11739.03,6962.1,108.94,109.06,99.91,178.96,182.91,97.83,154.02,244.92,62.84,0.91,0.11,0.98,15.92,-0.04,-0.06,-0.02,0.08,0.02,-0.09,-0.04,NA,-0.02,-0.06,0.07,NA,0.03,0.01,-0.02,-0.03,-0.06,0,-0.03,0.07,-0.08,-0.09,0.02,21.91,22.02,1979.96,22.01,1.38,1.37,3.61,2.33,65.81,0.67,0.24,0.27,0.26,27.36,0.02,0.05,0,0.04,-0.01,"D",2021
"4338","J. Vásquez","Nkasland Cronestan","GK","Fighting Wave",30,1990,29.61,0,-0.01,0.05,NA,0.06,0.08,NA,NA,NA,-0.08,-0.07,0,0.07,-0.09,NA,-0.02,0.05,29.61,909.95,1014.93,89.6,23298,12079.99,185.94,185.96,100.08,443.92,448.97,98.93,279.04,376.06,74.24,1.05,0.08,0.83,29.77,-0.1,0.03,-0.1,-0.1,0.09,0.1,0.05,NA,0.09,-0.04,-0.07,0.01,-0.02,-0.07,-0.03,0.1,-0.03,0.02,0.12,-0.05,0.08,-0.08,-0.01,16.09,16.07,1439.98,15.92,0.79,0.74,2.45,1.8,76.81,0.65,0,0.35,0.47,50.01,0.2,0.28,0.04,-0.02,-0.03,"D",2021
"4339","A. Amongin","Sobianitedrucy","GK","Fighting Wave",30,1990,0.33,-0.08,0.03,0.02,NA,0.04,-0.06,NA,NA,NA,-0.04,-0.02,0.04,-0.04,0.06,NA,-0.07,-0.08,0.26,9.99,10.97,90.82,177.93,112.98,5.93,5.97,99.96,2.9,2.99,100.06,1,2,50.04,0.09,-0.02,0.08,0.36,-0.08,-0.03,-0.04,0.09,-0.1,0.02,0.08,NA,-0.08,0.07,0,NA,0.07,0.08,-0.01,0.02,0.04,-0.08,0.08,0.07,-0.04,-0.04,-0.09,30.07,30.09,2676.9,29.76,1.02,1.07,3.24,2.33,70.48,0.47,0.26,0.23,0.21,16.66,0.22,0.17,0.02,0,33.27,"D",2021
"4340","N. Tkachuk","Sobianitedrucy","GK","Fighting Wave",42,1978,8.05,0.07,-0.04,-0.08,NA,-0.05,0,NA,NA,NA,0.05,0.02,0.05,-0.02,0.01,NA,0.04,0.05,7.92,258.04,303.98,84.87,6265.95,3393.09,65.01,65,100.07,121.98,121.93,99.95,67,112.93,59.31,-0.01,-0.06,0.09,7.92,-0.03,-0.02,0.02,0.04,-0.02,0.06,-0.01,NA,-0.04,0.07,0.06,NA,-0.09,0.08,0.02,0.09,-0.04,0.06,-0.06,0.06,-0.07,-0.06,0.08,0.91,-0.06,23.04,0.34,3.29,3.99,6.57,3.31,49.96,-0.06,-0.06,0.06,-0.01,NA,-0.02,-0.01,0.09,0.02,NA,"D",2021
"4379","V. Razak","Lefghau","GK","Flying Bombadiers",36,1983,6.04,-0.01,0.01,-0.03,NA,0.02,0.09,NA,NA,NA,0.05,-0.07,0.01,-0.06,0.03,NA,0.05,0.02,6.1,249,286.95,86.74,6303.02,3349.97,58.98,58.94,100.08,112.93,113.94,99.17,71.05,108.08,65.77,-0.03,0.01,-0.04,5.91,-0.09,0,-0.04,0.06,-0.09,0,-0.06,NA,-0.05,0.18,0.2,100.03,0.09,-0.07,-0.02,-0.02,0.08,-0.03,0.06,0.03,0.03,-0.09,0.18,7.97,8.01,719.95,7.93,0.71,0.65,2.04,1.76,82.34,0.89,0.09,-0.03,0.34,37.6,0.43,0.26,0.15,0.06,33.29,"D",2021
"4380","U. Mvula","Nkasland Cronestan","GK","Flying Bombadiers",29,1991,28.05,-0.01,-0.02,-0.08,NA,0,0.07,NA,NA,NA,0.08,-0.04,-0.06,-0.01,0.08,NA,-0.04,-0.1,28.04,749.02,965.94,77.49,18546.05,10343.06,186.09,186.99,99.42,294.93,299.93,98.25,223.91,432.94,51.79,0.06,0.02,-0.08,27.93,0.08,-0.03,0.05,0.06,0.08,0.08,0.01,-0.01,0.14,0.12,-0.04,-0.04,0.03,-0.02,0.03,0.02,-0.03,0.02,0.08,0.09,0.04,-0.06,0.15,6.02,5.9,539.99,5.9,1.45,1.5,4.28,2.8,69.23,-0.02,0.77,0.15,0.24,16.8,0.14,0.12,-0.05,0,-0.07,"D",2021
"4381","D. Chiba","Sobianitedrucy","GK","Flying Bombadiers",20,1999,4.06,-0.03,0.06,-0.02,NA,-0.08,-0.03,NA,NA,NA,0.08,0.08,-0.03,0.09,-0.06,NA,0.07,-0.02,3.97,116.06,137.96,84.07,2447.95,1532.06,41.06,42.1,97.57,52.07,52.96,98.16,21.04,41.06,51.24,-0.06,0,0.1,4.07,-0.06,0.05,0.06,-0.03,0.03,-0.03,0.21,0.05,0.27,0.47,-0.03,0.09,0.45,-0.09,0.08,0.02,0.01,0.1,0.05,-0.08,-0.01,-0.05,0.06,28.01,27.93,2520.04,28.07,1.62,1.71,5.08,3.58,71.21,0.39,0.08,0.48,0.22,14.23,0.2,0.22,0.03,0.08,28.53,"D",2021
"4409","Q. Martínez","Sobianitedrucy","GK","Hideous Spartans",23,1996,3.97,0.02,0.01,-0.04,NA,0.04,-0.09,NA,NA,NA,-0.02,-0.07,0.07,-0.04,-0.09,NA,-0.05,0.05,4.02,70.91,107.1,66.48,2539.98,1796.07,12.01,12.09,99.99,21.92,22.07,99.93,36.07,71.93,50.06,0.01,0.01,-0.02,3.98,-0.02,0.07,0.02,-0.02,-0.01,0.07,0.06,NA,-0.01,0.06,-0.08,NA,0,0,0.04,-0.07,0.05,0.09,-0.08,0.06,-0.04,0.08,-0.07,3.93,4,360.08,4.06,2.42,2.4,4.48,2.32,50.08,0.08,0.25,0.79,0.08,0.01,0.35,0.17,0.06,0.07,-0.1,"D",2021
"4410","Y. Nanyondo","Sobianitedrucy","GK","Hideous Spartans",26,1994,33.96,0.05,0.01,-0.06,NA,0.03,-0.06,NA,NA,NA,-0.1,0.08,-0.02,-0.08,0.06,NA,0.06,-0.05,33.97,663.94,961.98,68.98,20152.1,14218.97,174.92,174.96,100,204.93,206.1,99.55,275.91,570,48.49,-0.01,0.27,-0.13,33.92,0.03,-0.08,-0.01,0.06,0.1,-0.07,0.06,-0.02,0.03,0.17,-0.01,14.37,0.27,-0.05,0.05,-0.03,0.07,-0.01,-0.02,-0.09,-0.07,0.04,0.05,3.95,3.99,360.09,4.09,1.42,1.55,5.19,3.73,71.49,0.78,0.01,0.32,0.26,24.96,0.02,0.06,-0.02,0.09,NA,"D",2021
"4444","A. Kova?evi?","Sobianitedrucy","GK","Marvelous Heels",28,1992,14.09,0.02,0.08,0.08,NA,0.04,-0.08,NA,NA,NA,0.06,0.05,0.01,0.02,0.06,NA,-0.01,0.1,14.08,314.1,375.02,83.7,8558.96,4631.92,52.04,51.97,99.95,159.96,160.92,99.31,99.07,159.04,62.27,0,-0.04,0.08,14.01,-0.02,0,0.04,0.05,-0.02,0.05,0.14,0.07,0.13,0.24,-0.03,50,0.16,-0.08,-0.03,-0.03,-0.06,-0.01,0.03,0.07,0.04,0.08,-0.08,33.91,33.93,3060.05,33.92,1.49,1.63,5.17,3.62,72.9,0.21,0.36,0.45,0.26,17.56,0.24,0.14,0.05,0.01,-0.04,"D",2021
"4445","H. Okafor","Sobianitedrucy","GK","Marvelous Heels",25,1995,23.97,-0.02,-0.02,0.07,NA,-0.06,0.06,NA,NA,NA,-0.07,0.06,0.08,0.06,0.03,NA,0.1,0.03,23.94,504.01,667.95,75.32,15955.97,8869.02,55.01,55.93,98.16,221.91,226.06,98.13,223.04,380.95,58.45,0.02,-0.01,0.06,24.01,-0.02,-0.09,0.09,-0.06,0.08,-0.08,-0.06,0.02,0.11,0.12,0.01,50.08,0.08,0.1,-0.02,0.11,0.05,-0.02,-0.05,0.13,0.07,-0.05,0.08,15.08,12.97,1261.1,14.07,1.48,1.53,3.49,1.94,58.26,0.63,0.07,0.26,0.05,15.36,0.05,0.13,0.01,0.09,49.92,"D",2021
"4471","Y. Acola","Rarita","GK","Marvelous Patriots",33,1987,37,-0.07,-0.06,-0.09,NA,-0.1,0.02,NA,NA,NA,0.03,0.03,-0.05,-0.04,0.04,NA,0.09,0.01,37.07,1102.91,1358.03,81.17,26751.96,14918.04,321,323,99.44,432.04,437.93,98.6,323,568.91,56.74,0.02,-0.09,0.07,37.04,0.09,-0.07,0.01,-0.02,0.05,0.05,0.02,-0.05,0,0.22,-0.03,11.01,0.15,0.06,-0.05,-0.08,-0.01,-0.04,-0.07,-0.02,-0.04,0.05,-0.1,24.9,25.03,2155.93,24.02,1.07,1.14,2.57,1.68,63.87,0.52,0.4,0.22,0.35,36.08,0.25,0.13,0.08,0.02,33.37,"D",2021
"4472","K. Huang","Sobianitedrucy","GK","Marvelous Patriots",39,1981,1.1,0.08,0.03,-0.03,NA,-0.04,-0.1,NA,NA,NA,-0.04,0.1,-0.04,-0.05,-0.02,NA,-0.05,0.03,1.1,19.92,20.95,95.14,301.07,145.04,10,10.02,99.94,6.97,7.08,99.9,1.08,1.96,49.97,-0.01,-0.04,0.02,1,0.07,-0.06,-0.05,0.01,-0.03,0.1,-0.05,NA,0,0.04,-0.02,NA,-0.03,0.08,0,-0.09,0.09,-0.08,0.03,0.01,0.06,-0.09,0.06,0.95,0.97,89.91,0.92,-0.06,-0.04,1.05,1,100.08,-0.01,1.07,0,0.93,100.07,0.09,0.05,-0.04,0.04,NA,"D",2021
"4498","Y. Larsen","Imaar Vircoand","GK","Mean Wolves",26,1994,35.05,-0.08,0.07,0.04,NA,0.09,0.04,NA,NA,NA,0.07,-0.06,0.06,-0.08,-0.06,NA,-0.1,0.04,35.08,768.98,1024.03,75.16,22347.96,13382.07,157.95,159.07,99.38,321.97,326.94,98.58,273.98,523.1,52.43,0.09,0.02,-0.04,34.94,-0.08,-0.07,-0.01,-0.07,0.09,-0.03,0.06,-0.04,0.09,0.23,-0.09,0.08,0.29,0.03,0.06,0.01,0.01,0.03,-0.04,0.07,-0.07,0.02,0.09,35.07,35.07,3146.92,35.08,1.55,1.48,4.07,2.82,72.99,0.25,0.25,0.54,0.2,22.96,0.36,0.4,-0.03,0.04,-0.04,"D",2021
"4499","G. Oluka","Lefghau","GK","Mean Wolves",32,1988,2,0,0.08,0.09,NA,0,-0.03,NA,NA,NA,-0.03,0,-0.03,-0.03,0.02,NA,-0.09,-0.06,1.9,32.98,39.95,82.44,989.97,578,5.94,6.03,99.97,17.06,17.02,99.99,9.98,16.93,58.87,0.05,-0.09,-0.06,1.95,0.08,-0.04,0,-0.06,0.03,0.06,-0.06,NA,-0.08,-0.06,0.09,NA,0.08,-0.06,-0.08,-0.04,0.02,0.08,-0.04,0.05,0.07,-0.07,-0.01,1.95,1.98,180.06,1.94,2.45,2.59,3.52,1.09,28.64,0.47,0.09,0.53,-0.03,-0.01,-0.05,-0.07,0.1,-0.05,NA,"D",2021
"4500","B. Awio","Sobianitedrucy","GK","Mean Wolves",18,2002,-0.08,-0.03,-0.02,-0.09,NA,0.07,0.05,NA,NA,NA,-0.1,0.08,-0.09,-0.09,0.1,NA,-0.03,-0.02,0.08,2.07,2.09,99.98,69.08,51.92,-0.05,-0.01,NA,0.98,0.96,100,0.98,0.92,99.94,-0.09,-0.08,-0.02,-0.06,-0.01,0.09,-0.09,-0.04,0.04,-0.07,0.04,NA,0.05,-0.02,0.05,NA,0.02,0.03,0.06,0.1,0.07,0.07,-0.08,0.05,-0.08,0.03,0.05,1.01,-0.04,3.08,-0.01,0.02,-0.07,0.05,0.05,NA,-0.03,0,-0.02,0.06,NA,-0.02,0.06,-0.04,-0.06,NA,"D",2021
"4501","K. Järvinen","Sobianitedrucy","GK","Mean Wolves",24,1996,0.91,-0.1,-0.1,-0.02,NA,-0.03,0.06,NA,NA,NA,-0.03,0.01,0.08,0.05,0.07,NA,0.01,0.02,0.92,20.02,27.96,71.4,883.02,646.01,1.06,0.94,99.9,6.03,5.94,99.98,13.01,21.09,61.93,-0.05,0.07,0.05,1.08,-0.09,-0.08,0.09,0.03,-0.1,0.02,-0.02,NA,0.08,-0.02,-0.01,NA,-0.08,-0.08,0.09,-0.05,-0.03,0.04,-0.01,-0.01,0.04,-0.08,-0.06,1.08,0.93,89.99,0.99,2.01,2.05,3.09,1.92,66.78,0.04,-0.07,0.92,0.02,-0.07,0.93,1.09,0.03,-0.02,-0.04,"D",2021
"4527","H. Saeed","Manlisgamncent","GK","Mighty Monkeys",23,1997,0.94,0.03,0.05,-0.04,NA,-0.07,0.09,NA,NA,NA,0.06,0.08,-0.05,0.05,0,NA,0.03,-0.1,0.98,30.98,33.93,91.17,770.99,337.04,3.09,3.06,100,20,20.05,99.92,8.03,11.07,72.79,0.01,-0.04,-0.06,1,0.04,0.03,-0.04,0.08,0.1,-0.07,0.09,NA,0.05,-0.09,0.04,NA,-0.1,-0.08,-0.05,-0.01,0.04,0.09,-0.1,-0.03,-0.05,-0.03,0.01,0.92,1.09,90.1,0.95,0.05,0.08,1.01,1.03,100.07,1.05,0.02,-0.07,1.1,100.03,0,0.03,-0.01,-0.01,NA,"D",2021
"4528","C. Hamed","Sobianitedrucy","GK","Mighty Monkeys",23,1997,36.96,0.04,0.05,-0.08,NA,0.07,0.03,NA,NA,NA,-0.03,0.04,-0.05,-0.1,0.07,NA,0.04,-0.04,37.01,873.92,1256.07,69.68,28376.05,16754.97,97.94,99.95,97.95,368.95,372.01,99.27,402.98,780.09,51.67,1.07,0.43,0.56,36.97,-0.09,0.08,0.08,0.02,0.07,0.09,0.05,-0.09,-0.01,0.2,0.11,33.37,0.13,0.08,-0.06,-0.06,0.04,-0.07,-0.02,-0.06,0.01,0.09,-0.07,37.07,37.09,3330,36.96,1.56,1.44,4.46,3.21,71.5,0.44,0.21,0.36,0.14,16.13,0.18,0.15,0.1,-0.07,22.13,"D",2021
"4558","D. Kateregga","Manlisgamncent","GK","Red Rangers",20,2000,3.76,-0.03,-0.01,-0.06,NA,0.08,-0.02,NA,NA,NA,-0.06,-0.02,0.07,0.07,0,NA,-0.01,0.09,3.78,50.97,101.05,50.5,1546.94,1070.92,8.98,11.03,81.75,23.05,22.95,99.98,17.01,65.08,26.27,-0.02,-0.05,0.04,3.73,-0.1,-0.03,0,-0.08,0.05,0.02,0.01,NA,0.06,-0.02,-0.02,NA,0.07,0.03,0.04,0.06,0.08,-0.04,-0.09,0.04,0,0.02,0,4.05,4.09,332.02,3.74,1.54,1.72,3.43,1.81,53.74,0.07,0.8,0.2,-0.01,-0.04,0.02,-0.1,0,0.08,NA,"D",2021
"4559","G. Daud","Sobianitedrucy","GK","Red Rangers",29,1991,0.32,0.02,0.06,-0.1,NA,-0.09,-0.04,NA,NA,NA,0.06,-0.03,0.07,-0.01,0.08,NA,-0.01,-0.02,0.37,3.99,10.95,36.41,184.05,148.97,-0.05,0.08,NA,1.05,1.01,99.94,2.96,10.05,30,-0.03,0.04,0.07,0.31,0.03,-0.09,0.02,-0.08,0,-0.01,0.01,NA,-0.09,0,0.08,NA,0,0.01,0.07,-0.09,0.02,0,0.03,-0.05,0.09,-0.09,0.01,1.05,0.06,27.98,0.26,0.1,-0.09,3.38,3.29,100.03,0.07,-0.09,-0.09,-0.02,NA,-0.1,-0.04,0.02,0.06,NA,"D",2021
"4560","V. Ssali","Sobianitedrucy","GK","Red Rangers",29,1991,34.08,-0.05,-0.05,0.01,NA,-0.09,0.09,NA,NA,NA,0.04,-0.09,0,0.06,-0.05,NA,-0.1,-0.06,33.93,447.08,1001.95,44.63,17199.01,14239.92,62.02,63.09,98.47,143.01,146.95,97.28,242.01,790.99,30.54,0.04,0.1,0.08,33.96,0.03,0.07,-0.07,-0.08,-0.02,-0.06,-0.06,-0.08,0.09,0.03,0.07,-0.09,-0.01,-0.03,-0.09,0.08,-0.01,-0.09,-0.09,-0.09,-0.04,0.04,-0.08,33.95,34.02,3059.9,34.05,1.31,1.32,3.66,2.53,71.26,0.3,0.27,0.39,0.12,20.66,0.19,0.22,-0.06,0.02,-0.05,"D",2021
"4593","H. Tuhaise","Lefghau","GK","Remarkable Flames",23,1997,4.97,0.01,0.07,0.01,NA,-0.05,0.07,NA,NA,NA,-0.04,0.08,0.05,-0.08,0.04,NA,0.08,0.08,4.99,112.99,152.99,73.81,3233.05,1848.95,18.01,19.07,94.69,55.91,56.95,98.2,39.06,77.07,50.53,-0.06,0.01,0,5.03,-0.01,0.09,-0.01,0,-0.06,-0.05,0.09,NA,-0.08,-0.02,-0.03,NA,0.05,-0.09,-0.08,0.06,0.01,0.09,-0.03,0.05,0.07,-0.08,0,4.99,5.08,450.03,5.02,1.42,1.47,5.15,3.73,73.16,0.43,0.17,0.33,0.32,39.97,-0.06,-0.06,-0.05,-0.06,NA,"D",2021
"4594","P. Solanki","Nganion","GK","Remarkable Flames",25,1994,20.16,0.05,-0.02,0.02,NA,0.08,0.04,NA,NA,NA,0.02,0.05,0.07,-0.07,-0.03,NA,0.03,0.09,20.22,531.05,663.06,80.03,14082.96,8083.9,103.02,104.92,98.11,264.07,266.04,99.17,160.96,288.98,55.77,0.05,-0.08,-0.03,20.19,0.09,0.02,-0.09,-0.07,-0.01,-0.04,0.07,NA,-0.08,0.23,0.08,0.04,0.15,-0.09,-0.09,0,-0.08,0.07,-0.04,-0.02,0.08,-0.02,0.07,20.92,19.95,1817.01,20.26,1.52,1.45,3.92,2.97,67.99,0.41,0.12,0.29,0.23,19.9,0.18,0.13,0.01,0.06,0.02,"D",2021
"4595","G. Boadi","Sobianitedrucy","GK","Remarkable Flames",37,1983,12.71,0.03,-0.02,0.04,NA,-0.02,0.02,NA,NA,NA,0.08,0.09,-0.05,0.04,0.03,NA,0.05,0.01,12.8,341.05,436.06,78.11,9347.92,5673.04,65.99,66.02,99.96,160.01,165.08,97.03,113.02,202.03,55.94,-0.04,-0.07,0.01,12.82,0.04,0.04,0.05,0.08,-0.03,-0.03,0.18,0.1,0.11,0.17,0.13,100,0.11,0.05,0.03,0.12,-0.05,0,0.12,-0.06,-0.06,-0.01,-0.1,13,13.01,1152.96,12.74,1.44,1.4,4.23,2.86,68.59,0.45,0.14,0.32,0.4,38.5,0.18,0.08,-0.02,-0.01,33.23,"D",2021
"4622","W. Lotfi","Moaithe","GK","Serious Ranchers",25,1995,9.06,-0.06,0.04,-0.06,NA,0.05,-0.01,NA,NA,NA,0.09,-0.04,-0.1,-0.08,0.1,NA,0.08,0,8.94,286.96,343.93,83.32,7307.91,4743.96,78.91,79.05,99.91,104.07,105.03,99.04,96.94,152.95,63.48,0.02,0.01,-0.09,9.06,0.05,0.13,0.02,-0.02,-0.01,0.12,0.11,100,-0.09,0.16,-0.04,0.08,0.03,0.1,0.05,-0.02,0.08,0.01,0.04,0.08,0.11,0.29,-0.05,9.03,9.09,809.97,8.94,1.61,1.64,4.04,2.67,67.62,0.35,0.31,0.53,0.27,33.23,0.31,0.2,0.09,-0.1,-0.02,"D",2021
"4623","J. Turyasingura","Nganion","GK","Serious Ranchers",37,1982,29.03,0.07,-0.07,-0.07,NA,0.1,-0.06,NA,NA,NA,-0.1,-0.01,-0.01,-0.01,0,NA,0.03,-0.05,28.91,913.93,1119.95,81.63,26272.07,17008.94,158.91,159.08,100.07,393.08,397.94,98.68,357.02,558.02,64.1,0,-0.08,-0.01,28.99,0.03,0.07,0.07,0.02,-0.01,0.07,-0.05,0.05,0.06,0.09,-0.01,100.03,0.03,-0.09,0.09,-0.02,0.07,-0.05,0.04,0.03,0.09,0.05,-0.09,28.91,28.91,2610,28.94,1.36,1.37,3.78,2.57,69.12,0.63,0.07,0.29,0.35,30.98,0.31,0.29,0.09,0,0.04,"D",2021
"4654","A. White","Sobianitedrucy","GK","Spicy Pointers",27,1992,2.3,-0.03,0,-0.05,NA,0.06,-0.07,NA,NA,NA,-0.01,0.08,-0.04,-0.02,0.02,NA,0.04,-0.07,2.34,50.03,77.96,64.03,1131.99,759.1,17.97,17.92,99.92,18.07,17.98,100.06,10.95,39.02,28.13,0.1,-0.01,-0.02,2.3,0.06,0.07,0.06,0.01,0.09,0.07,-0.1,NA,-0.06,0.52,0.45,99.95,0.41,0.05,-0.08,-0.04,0.08,0.03,0.04,-0.02,-0.1,0.01,-0.07,2.91,2.01,206.06,2.31,1.29,1.38,5.27,3.55,75.07,0.42,-0.03,0.37,0.41,50,-0.01,-0.02,0.02,0.07,NA,"D",2021
