"","�..Player","Nation","Pos","Age","Born","X90s","Gls","Standard.Sh","Standard.SoT","Standard.SoT.","Standard.Sh.90","Standard.SoT.90","Standard.G.Sh","Standard.G.SoT","Standard.Dist","Performance.PK","Performance.PKatt","Standard.FK","Expected.xG","Expected.npxG","Expected.npxG.Sh","Expected.G.xG","Expected.np.G.xG","Total.Cmp","Total.Att","Total.Cmp.","Total.TotDist","Total.PrgDist","Short.Cmp","Short.Att","Short.Cmp.","Medium.Cmp","Medium.Att","Medium.Cmp.","Long.Cmp","Long.Att","Long.Cmp.","Ast","xA","A.xA","KP","X1.3","PPA","CrsPA","Prog","Tackles.Tkl","Tackles.TklW","Tackles.Def.3rd","Tackles.Mid.3rd","Tackles.Att.3rd","Vs.Dribbles.Tkl","Vs.Dribbles.Att","Vs.Dribbles.Tkl.","Vs.Dribbles.Past","Pressures.Press","Pressures.Succ","Pressures..","Pressures.Def.3rd","Pressures.Mid.3rd","Pressures.Att.3rd","Blocks.Blocks","Blocks.Sh","Blocks.ShSv","Blocks.Pass","Int","Tkl.Int","Clr","Err"
"391","G. Were","Quewenia","FW",28,1992,4.15,0.72,3.13,1.23,38.52,3.1,1.21,0.32,0.5,16.9,-0.1,0.09,0.09,0.22,0.32,0.08,0.51,0.48,15.98,22.03,72,217.91,45.64,8.48,11.82,71.99,6.12,7.95,78.84,0.16,0.48,50.1,-0.03,0.14,-0.15,1.44,0.41,0.87,-0.04,1.85,-0.07,-0.03,-0.1,0.04,-0.09,-0.02,0.31,-0.03,0.27,13.57,2.82,21.18,1.17,5.91,6.37,0.87,0.92,0.1,0.07,0.67,0.77,0.75,0.08
"392","M. Mathieu","Quewenia","FW",23,1997,4.13,0.16,2.64,0.89,36.31,2.78,0.98,0.03,0.15,14.72,0.06,-0.04,-0.09,0.28,0.21,0.13,-0.01,0.04,21.12,26.77,79.07,332.08,86.77,11.96,14.02,84.48,7.23,8.45,85.79,1.44,2.2,66.73,-0.1,0.15,-0.08,1.56,0.5,1.46,-0.05,2.05,1.39,0.52,0.5,0.2,0.77,0.55,1.28,39.99,0.66,17.84,4.53,25.91,2.38,6.58,8.83,0.64,0,0.01,0.72,0.54,1.95,1.04,-0.05
"393","G. Odoch","Quewenia","FWMF",22,1998,1.8,0.07,0.47,-0.02,0.04,0.54,-0.1,-0.06,NA,15.93,-0.04,0.08,0.07,-0.05,0.07,0.06,-0.13,0.04,23.69,31.12,76.22,362.51,95.8,13.64,15.23,89.7,7.86,9.5,83.32,2.08,5.87,36.3,0.02,0.04,-0.02,1.01,1,0.56,-0.1,1.54,2.06,1.15,1.57,-0.09,0.44,0.63,1.66,33.23,1.02,16.33,5.87,35.5,5.82,6.91,3.75,1.02,-0.07,-0.05,1.09,4.24,6.38,2.67,-0.06
"394","H. Kurnia","Quewenia","FWMF",31,1989,1.76,0.57,0.52,0.68,99.99,0.51,0.51,1.06,1.07,16.94,-0.1,-0.06,-0.07,0.04,0.08,0.09,0.55,0.4,13.42,18.28,74.13,178.82,24.15,7.73,9.36,81.23,4.11,5.84,69.95,0.53,0.61,99.94,0,0.13,-0.17,1.22,1.26,0.04,0,0.68,0.51,-0.07,0.57,0,-0.07,-0.09,0.62,-0.04,0.68,22.33,6.48,28.98,4.22,10.54,7.68,1.15,0.6,-0.06,0.68,-0.01,0.65,0.62,-0.03
"395","V. Nyakudya","Quewenia","FWMF",27,1993,0.89,0.06,0.07,0.09,NA,-0.01,-0.05,NA,NA,NA,0.03,0.1,-0.01,0.07,-0.01,NA,-0.06,0.03,10.06,23.78,42.01,172.54,42.52,3.72,6.29,59.97,3.77,12.54,29.94,1.31,3.75,33.21,-0.07,-0.05,-0.08,-0.08,-0.08,-0.09,0.08,0.09,7.49,6.34,5.1,1.18,1.2,4.99,6.33,80.06,1.26,37.49,8.66,23.25,11.37,15.01,11.2,0.07,-0.09,0.1,-0.04,2.45,9.97,3.68,0.03
"396","Z. Uy","Quewenia","FWMF",29,1991,0.31,0.06,5.04,2.54,49.99,4.54,2.15,0.06,0.08,14.48,0.01,-0.1,0,0.32,0.29,0.07,-0.23,-0.3,50.08,62.43,80.08,655.09,184.99,35.03,42.46,82.45,9.91,10.08,99.96,2.52,2.55,99.93,0.02,-0.07,0.02,-0.08,5.06,-0.06,0.04,2.54,5,5.01,2.51,2.46,-0.08,-0.01,0.06,NA,0.1,50.06,14.98,29.95,12.48,20.07,17.43,0.02,0.03,0,0.04,2.59,7.44,-0.01,-0.08
"412","B. Sah","Sobianitedrucy","FW",30,1990,4.94,0.45,3.58,0.57,16.78,3.63,0.66,0.05,0.73,15.57,-0.05,-0.01,0.02,0.4,0.26,0.04,-0.02,0.07,20.8,26.1,79.78,299.73,30.63,11.04,13.12,84.48,6.14,7.59,81.13,1.61,2.48,66.66,0.15,0.16,0,0.66,0.91,0.9,0.08,1.45,0.1,-0.09,0.02,-0.03,0.04,0.01,0.33,-0.02,0.37,21.08,4.33,20.35,0.66,8.26,12.16,0.86,0.13,0,0.53,0.12,0.15,0.46,-0.08
"413","E. Zacarias","Sobianitedrucy","FW",27,1993,2.41,-0.06,3.65,0.76,22.12,3.75,0.82,0.05,-0.09,15.42,0.01,0.03,0.46,0.52,0.39,0.1,-0.5,-0.43,9.11,13.82,66.64,137.94,14.2,5.51,6.76,81.21,2.14,3.79,55.52,0.76,1.22,66.76,0.07,-0.04,0.1,0.43,0.04,0.47,0.02,0.88,0.73,0.75,0.09,0.85,0.04,-0.1,0.43,-0.02,0.48,14.61,4.21,28.66,2.01,7.14,5.45,-0.05,-0.04,-0.03,-0.05,-0.08,0.87,0.74,0.08
"414","G. Chimwaza","Sobianitedrucy","FW",20,2000,0.17,0.09,5.08,-0.07,-0.02,5.65,0.09,0.05,NA,18.21,0.08,0.06,0.05,0.6,0.47,0.03,-0.49,-0.56,20.02,30.01,66.71,424.95,130,10.04,10.07,99.92,5.01,9.95,49.93,5,4.99,100.06,-0.07,0.02,0.01,0.06,0.01,0.01,0,0.1,-0.1,0.07,-0.01,0.05,-0.1,0.04,-0.07,NA,0.05,5.08,0.07,0.06,5.02,0.04,0.09,-0.04,-0.03,0.06,0.08,-0.06,-0.05,0.06,0.05
"415","P. Mlotshwa","Sobianitedrucy","FW",23,1997,4.91,0.51,3.18,1.38,43.79,3.21,1.37,0.16,0.39,16.51,-0.03,0.08,0.07,0.18,0.25,0.04,0.24,0.25,17.11,22.93,74.98,252.03,57.72,9.16,11.25,81.84,5.49,7.08,77.08,1.32,2.5,49.93,0.1,0.15,-0.21,1.21,0.37,1.04,0.38,1.46,1.04,0.24,0.47,0.13,0.49,0.15,1.38,14.28,1.19,14.45,2.12,14.15,2.39,5.92,6.05,0.49,0.1,0.02,0.4,0,1.11,0.21,0.07
"416","R. Nkosi","Sobianitedrucy","FW",29,1991,5.58,0.34,3.43,1.18,36.82,3.3,1.32,0.12,0.39,20.33,-0.04,0.05,0.6,0.21,0.23,0.13,0.17,0.16,47.96,60.9,78.59,850.01,212.52,26.39,29.5,88.57,14.59,17.74,81.81,6.7,11.34,58.64,-0.04,0.18,-0.22,2.38,2.23,2.38,0.46,4.66,0.69,0.28,0.27,0.61,-0.06,0,0.89,-0.03,0.88,11.51,2.92,24.55,3.77,4.25,3.58,0.24,0.1,0.05,0.26,0.68,1.34,0.21,-0.02
"417","V. Golob","Sobianitedrucy","FW",26,1994,4.27,0.02,3.42,0.55,14.36,3.44,0.52,0,0.04,17.43,-0.01,-0.05,0.08,0.17,0.19,-0.02,-0.23,-0.2,24.56,32.83,74.65,410.79,95.92,13.71,16.93,81.8,7.23,8.29,85.71,3.37,5.24,63.52,0.14,0.2,0.03,2.43,0.52,1.39,0.4,2.57,0.57,0.17,-0.08,0.49,-0.02,0.08,1.24,0.05,1.21,20.23,4.71,23.43,3.83,8.57,7.79,1.14,0.31,0.02,0.94,2.07,2.53,1.7,0.03
"418","Y. Smit","Sobianitedrucy","FW",26,1994,1.31,-0.03,2.96,0.63,25.05,2.79,0.7,-0.06,0.05,27.54,0.01,0.07,1.43,0,0.11,0.09,-0.15,0.01,22.8,36.37,62.71,297.81,89.33,17.12,17.88,96.09,4.95,9.96,49.94,0.79,5.7,12.53,0.09,0.22,-0.35,2.84,0.71,2.2,-0.01,2.09,1.44,0.8,1.39,-0.08,-0.02,-0.03,0.01,NA,-0.09,10.1,2.92,28.67,2.93,2.78,4.2,0.02,-0.09,0.02,-0.09,1.39,2.88,-0.01,-0.06
"439","B. Phillips","Southern Ristan","FW",27,1993,4.82,0.87,2.4,0.94,41.73,2.41,1.11,0.24,0.54,16.43,0.25,0.21,0.22,0.52,0.47,0.17,0.16,0.15,10.39,15.82,65.46,156.8,22.04,5.85,7.59,78.49,2.99,4.66,65.26,0.84,1.64,49.92,-0.03,0.01,-0.05,0.52,0.41,0.87,0.03,1.22,-0.02,0.1,0.07,0.06,0.06,0.07,-0.01,NA,-0.09,3.62,0.65,16.69,-0.04,1.53,1.95,0.14,0.21,-0.1,0.03,0.03,0.07,0.33,0.08
"440","F. Diaz","Southern Ristan","FW",30,1990,0.06,-0.09,-0.04,0.09,NA,0.02,-0.07,NA,NA,NA,0.06,0.07,0.02,0,0.04,NA,0.03,0.02,39.93,49.94,79.91,499.98,-0.07,19.99,29.94,66.73,-0.01,0.04,NA,10.08,10.07,99.93,-0.1,-0.01,-0.01,0.09,0.04,0.07,-0.05,0.01,-0.03,0.08,0.06,-0.03,0.1,0.03,0.09,NA,0.02,19.91,19.94,100.01,-0.01,9.91,10.06,-0.09,-0.08,0.03,-0.04,0.08,-0.09,0.03,-0.05
"457","N. Rebane","Varijitri Isles","FW",35,1985,3.03,0.05,3.41,0.38,10.06,3.35,0.26,-0.08,-0.04,14.27,-0.03,0.06,-0.04,0.28,0.43,0.07,-0.41,-0.42,14.69,20.08,73.3,193.01,16.05,9.9,12.78,78.96,4.61,6.41,73.66,0.06,0.93,0.05,-0.03,-0.02,-0.1,1.6,0.08,0.42,0.08,0.7,0.76,0.25,0,0.73,0.06,0.3,1.63,20.06,1.32,20.95,4.24,20.67,2.02,7.63,11.25,0.02,-0.06,0,-0.06,0,0.65,1.93,0.09
"469","K. Koppel","Varijitri Isles","MFFW",24,1997,1.26,0.02,0.85,-0.07,0.04,0.7,-0.03,0.03,NA,23.92,0.08,-0.03,0.04,0,-0.02,0.05,-0.03,0,41.5,46.13,90.01,804.57,286.11,19.25,19.97,96.27,14.58,15.46,94.98,6.83,9.3,74.93,-0.04,0.54,-0.55,4.59,3.95,2.38,2.33,4.62,0.7,-0.1,0.81,0.09,0,0.08,0.82,0.03,0.79,25.39,5.41,21.24,11.4,9.95,3.89,-0.03,-0.07,0.04,0,0.09,0.76,-0.04,0.08
"477","A. Ngabirano","Xikong","FW",27,1993,1.31,0.1,0.61,0.67,99.98,0.79,0.62,-0.07,-0.08,16.18,-0.01,0.08,-0.1,0.14,0.04,0.02,-0.13,-0.04,5.68,10.66,53.36,72.12,3.48,4.91,6.44,77.81,0.77,2.15,33.21,-0.03,0.75,0.03,-0.08,0.05,-0.05,0.02,0.66,0.09,0.08,0.04,1.34,0.75,0.01,1.41,-0.1,0.05,1.4,-0.06,1.36,25.69,6.44,24.94,5.03,12.01,8.67,1.34,-0.02,0.07,1.34,0,1.37,0.67,-0.04
"478","I. Amolo","Xikong","FW",34,1986,1.98,0.05,0.92,0.03,0.06,0.96,-0.02,0,NA,9.05,0.09,0.08,-0.08,0.41,0.38,0.39,-0.42,-0.49,12.49,20.96,59.46,155.07,40.57,9.6,14.07,67.98,2,4.08,49.96,0.59,0.98,49.97,-0.08,0.1,-0.06,0.59,0.56,0.47,-0.09,1.58,0.57,0.06,0.07,0.44,-0.07,-0.02,1.47,0,1.4,16.97,2.46,14.66,4.42,8.98,3.52,1.57,0.49,0.05,0.91,0.52,1.08,0.51,-0.08
"479","O. Zen","Xikong","FW",21,1999,3.63,0.03,2.19,0.32,12.52,2.23,0.21,0.05,0,14.66,0.05,-0.05,-0.1,0.34,0.18,0.06,-0.27,-0.24,14.12,19.24,73.83,228.66,68.82,7.18,9.66,74.33,4.08,4.7,88.16,1.86,2.25,87.56,0.49,0.41,0.13,1.32,0.84,1.05,-0.08,2.58,0.64,0.32,0.02,0.18,0.29,0.34,0.32,99.97,-0.08,11.82,2.12,18.57,1.45,2.99,7.59,0.84,0.24,-0.01,0.58,0.89,1.37,0.59,0.08
"480","U. Taaka","Xikong","FW",20,2000,1.53,-0.09,2.09,0.6,33.27,2.15,0.69,-0.1,-0.1,13.56,-0.08,-0.09,-0.05,0.07,0.09,0,-0.04,-0.1,23.36,28.78,81.46,303.21,79.97,15.96,17.96,89,6.69,8.73,76.86,-0.01,-0.06,NA,1.4,0.54,0.79,3.39,0.09,1.34,-0.08,1.93,0.1,-0.06,0,-0.02,-0.07,-0.03,0.01,NA,0.08,18.75,6.64,35.71,0.75,5.28,12.65,1.93,-0.01,-0.06,2.06,-0.02,-0.02,0.01,0.05
"488","B. Goldberg","Xikong","MFFW",29,1992,1.01,0.98,2.06,1.09,50.01,2.05,1.05,0.43,1.05,13.77,0.04,0.07,0.01,0.38,0.5,0.13,0.52,0.59,12.96,21,61.83,262.09,64,7.94,11.93,66.7,3,5.05,59.98,2.01,3.08,66.64,-0.01,0.09,-0.05,0,2.94,0.01,0.07,3.05,0.97,0.99,0.98,0.05,0.03,1.07,3.94,25.1,3.1,27.98,9.06,32.18,9.05,13,5.94,1.97,0.09,0.07,2.04,1.99,2.95,1.03,0.03
